symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level,oi_filtered
BTCUSDT,15m,FifteenMinStrategy,long,1672632000.0,16645.92,16607.25892,18310.512,1,1673544600.0,18652.54,2006.6200000000026,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1673547300.0,18649.3,18562.203,20514.23,1,1673656200.0,21024.29,2374.9900000000016,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,long,1673657100.0,20891.67,20766.09458,22980.837,1,1673658900.0,20717.85,-173.8199999999997,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1673668800.0,20903.3,20819.65692,22993.63,1,1673672400.0,20800.45,-102.84999999999854,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1673673300.0,20818.74,20874.666,18736.865999999998,1,1673676000.0,20911.41,-92.66999999999825,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,short,1673677800.0,20925.27,21011.712,18832.743,1,1673685000.0,21014.98,-89.70999999999913,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1673687700.0,20571.83,21063.2925,18514.647,1,1673830800.0,21190.01,-618.1799999999967,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1673836200.0,21280.71,21188.039,23408.781000000003,1,1673838000.0,21111.54,-169.16999999999825,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1673842500.0,21063.43,20953.489439999998,23169.773,1,1673856000.0,20798.0,-265.4300000000003,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1673856900.0,20811.07,20905.728,18729.962999999996,1,1673883000.0,20970.44,-159.36999999999898,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1673894700.0,21281.97,21014.886,23410.167000000005,1,1673917200.0,20971.9,-310.0699999999997,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,short,1673942400.0,21166.58,21253.665960000002,19049.922,1,1673956800.0,21262.79,-96.20999999999913,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1673970300.0,21176.06,21236.02728,19058.453999999998,1,1673979300.0,21269.64,-93.57999999999811,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,short,1673980200.0,21324.58,21454.61656,19192.122,1,1674050400.0,21501.85,-177.2699999999968,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1674060300.0,20845.47,21011.80236,18760.923,1,1674061200.0,21084.29,-238.8199999999997,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1674074700.0,20732.6,21001.486009999997,18659.339999999997,1,1674154800.0,21028.41,-295.8100000000013,TP/SL/BMS/CHOCH,AB,False
BTCUSDT,15m,FifteenMinStrategy,long,1674162000.0,21021.56,20924.75484,23123.716000000004,1,1674205200.0,20923.15,-98.40999999999985,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1674216000.0,20999.72,21085.49596,18899.748,1,1674218700.0,21089.54,-89.81999999999971,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,long,1674232200.0,21313.05,21077.76,23444.355,1,1674683100.0,23592.55,2279.5,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1674689400.0,23202.08,22771.02668,25522.288000000004,1,1674783000.0,22671.05,-531.0300000000025,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,short,1674785700.0,22752.43,22868.108,20477.186999999998,1,1674797400.0,22938.64,-186.20999999999913,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,long,1674798300.0,23034.92,22732.71664,25338.412,1,1675107000.0,22698.25,-336.66999999999825,TP/SL/BMS/CHOCH,AB,False
BTCUSDT,15m,FifteenMinStrategy,short,1675144800.0,22764.77,22827.89466,20488.292999999998,1,1675146600.0,22840.45,-75.68000000000029,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1675151100.0,22978.24,22740.66273,25276.064000000002,1,1675660500.0,22707.96,-270.2800000000025,TP/SL/BMS/CHOCH,AB,False
BTCUSDT,15m,FifteenMinStrategy,short,1675661400.0,22732.49,22795.169339999997,20459.240999999998,1,1675666800.0,22799.42,-66.92999999999665,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1675681200.0,22795.0,22679.607239999998,25074.500000000004,1,1675911600.0,22572.22,-222.77999999999884,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1675920600.0,22603.76,22701.444,20343.384,1,1675925100.0,22719.25,-115.4900000000016,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,long,1675934100.0,22687.3,22592.00904,24956.030000000002,1,1675956600.0,22581.81,-105.48999999999796,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1675971900.0,22032.71,22091.244300000002,19829.439,1,1676385900.0,22247.39,-214.6800000000003,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,short,1676395800.0,22045.4,22175.097,19840.86,1,1676402100.0,22184.1,-138.6999999999971,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,long,1676403000.0,22213.51,22041.06952,24434.861,1,1676505600.0,24596.33,2382.8200000000033,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1676520000.0,24668.15,24562.86396,27134.965000000004,1,1676532600.0,24548.63,-119.52000000000044,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1676560500.0,24540.3,24688.36,22086.269999999997,1,1676561400.0,24770.59,-230.29000000000087,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1676579400.0,24553.81,24698.077559999998,22098.429,1,1676664000.0,24956.43,-402.619999999999,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1676664900.0,24888.65,24797.22616,27377.515000000003,1,1676665800.0,24754.13,-134.52000000000044,TP/SL/BMS/CHOCH,A,False
BTCUSDT,15m,FifteenMinStrategy,long,1676669400.0,24678.3,24545.84232,27146.13,1,1676670300.0,24476.42,-201.88000000000102,TP/SL/BMS/CHOCH,B,False
BTCUSDT,15m,FifteenMinStrategy,short,1676684700.0,24660.14,24782.46492,22194.125999999997,1,1676743200.0,24813.82,-153.6800000000003,TP/SL/BMS/CHOCH,B,False
