symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason
BTCUSDT,15m,smc_loose,long,1672620300.0,16588.35,16531.50625,19906.019999999997,1,1673648100.0,19944.62,3356.2700000000004,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1673649000.0,19939.44,19803.411,23927.327999999998,1,1675020600.0,23927.51,3988.0699999999997,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675021500.0,23897.84,23793.75395,28677.408,1,1675022400.0,23784.78,-113.06000000000131,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675023300.0,23802.0,23628.91994,28562.399999999998,1,1675044000.0,23591.95,-210.04999999999927,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675044900.0,23630.63,23496.398699999998,28356.756,1,1675069200.0,23283.45,-347.1800000000003,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675070100.0,23291.36,23206.94966,27949.632,1,1675071000.0,23181.34,-110.02000000000044,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675071900.0,23191.2,23040.67,27829.44,1,1675081800.0,23013.29,-177.90999999999985,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675082700.0,23076.27,22899.92351,27691.524,1,1675105200.0,22794.36,-281.90999999999985,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675106100.0,22783.32,22672.63742,27339.984,1,1675109700.0,22670.58,-112.73999999999796,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675110600.0,22716.42,22491.20336,27259.703999999998,1,1675969200.0,22434.13,-282.28999999999724,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675970100.0,22180.29,22033.77976,26616.348,1,1675971000.0,22020.2,-160.09000000000015,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675971900.0,22032.71,21815.357,26439.251999999997,1,1675978200.0,21814.57,-218.13999999999942,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1675979100.0,21856.3,21629.915,26227.559999999998,1,1676046600.0,21608.37,-247.9300000000003,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1676047500.0,21607.11,21529.40743,25928.532,1,1676064600.0,21519.23,-87.88000000000102,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1676065500.0,21536.31,21386.647,25843.572,1,1678385700.0,21321.95,-214.36000000000058,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1678386600.0,21074.49,20932.015,25289.388000000003,1,1678389300.0,20907.34,-167.15000000000146,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1678390200.0,20893.34,20759.10529,25072.007999999998,1,1678392000.0,20719.76,-173.58000000000175,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1678392900.0,20629.98,20469.49673,24755.976,1,1678394700.0,20116.66,-513.3199999999997,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1678395600.0,20277.0,19982.59184,24332.399999999998,1,1678421700.0,19953.71,-323.2900000000009,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1678422600.0,19910.0,19806.81077,23892.0,1,1678444200.0,19676.6,-233.40000000000146,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1678445100.0,19621.66,19490.44273,23545.992,1,1678719600.0,24015.16,4393.5,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1678720500.0,24410.24,23755.356900000002,29292.288,1,1681164000.0,29500.25,5090.009999999998,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1681164900.0,29569.57,29205.2475,35483.484,1,1681779600.0,29205.19,-364.380000000001,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1681780500.0,29280.31,29064.553969999997,35136.372,1,1681938900.0,29057.06,-223.25,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1681939800.0,28940.01,28727.43836,34728.011999999995,1,1681948800.0,28726.93,-213.0799999999981,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1681949700.0,28894.09,28364.074200000003,34672.907999999996,1,1682014500.0,28346.95,-547.1399999999994,TP/SL/BMS/CHOCH
BTCUSDT,15m,smc_loose,long,1682015400.0,28312.44,28197.13406,33974.928,1,1682018100.0,28083.6,-228.84000000000015,TP/SL/BMS/CHOCH
