symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason
BTCUSDT,30m,smc,long,1672731000.0,16729.74,16661.395409999997,20075.688000000002,1,1672756200.0,16661.23,-68.51000000000204,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1672758000.0,16647.29,16570.937599999997,19976.748,1,1673654400.0,20376.47,3729.1800000000003,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1673656200.0,20891.67,20125.848599999998,25070.003999999997,1,1676561400.0,25072.67,4181.0,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1676566800.0,24842.76,24691.702,29811.311999999998,1,1676577600.0,24473.92,-368.84000000000015,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1676579400.0,24565.36,24374.12759,29478.432,1,1676584800.0,24357.82,-207.54000000000087,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1676638800.0,23803.29,23701.312110000003,28563.948,1,1677081600.0,23684.03,-119.26000000000204,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1677110400.0,24184.89,24030.26229,29021.868,1,1677150000.0,23865.59,-319.2999999999993,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1677202200.0,24002.85,23917.76081,28803.42,1,1677216600.0,23896.6,-106.25,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1677218400.0,23869.4,23708.66,28643.280000000002,1,1677250800.0,23597.87,-271.5300000000025,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1677367800.0,23157.07,23055.625,27788.484,1,1677805200.0,22852.03,-305.0400000000009,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1677861000.0,22374.15,22245.27337,26848.98,1,1677879000.0,22239.92,-134.2300000000032,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1677898800.0,22336.35,22256.08085,26803.62,1,1677958200.0,22250.78,-85.56999999999971,TP/SL/BMS/CHOCH
BTCUSDT,30m,smc,long,1677979800.0,22591.68,22325.301900000002,27110.016,1,1678199400.0,22309.18,-282.5,TP/SL/BMS/CHOCH
