symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason
ETHUSDT,1h,OneHourStrategy,short,1673895600.0,1591.23,1609.3134999999997,1432.107,1,1674244800.0,1641.35,-50.11999999999989,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1674680400.0,1618.18,1629.0023899999999,1456.3619999999999,1,1675015200.0,1629.37,-11.189999999999827,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1675069200.0,1587.79,1576.8552,1746.5690000000002,1,1675105200.0,1554.24,-33.549999999999955,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1675278000.0,1617.48,1631.9411799999998,1455.732,1,1675281600.0,1632.69,-15.210000000000036,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1675724400.0,1614.29,1600.19497,1775.719,1,1675969200.0,1579.81,-34.48000000000002,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1676656800.0,1695.57,1702.6827699999997,1526.0129999999997,1,1676660400.0,1706.03,-10.460000000000036,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1676883600.0,1711.73,1722.86313,1540.5569999999998,1,1678316400.0,1532.38,179.3499999999999,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1679241600.0,1816.17,1838.6795399999999,1634.5529999999999,1,1680606000.0,1864.91,-48.74000000000001,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1681308000.0,1914.45,1938.7989999999998,1723.0049999999999,1,1681372800.0,1963.18,-48.73000000000002,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1682535600.0,1828.74,1813.10432,2011.6140000000003,1,1682967600.0,1812.97,-15.769999999999982,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1683500400.0,1870.4,1861.98723,2057.44,1,1683507600.0,1853.39,-17.00999999999999,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1686535200.0,1731.43,1714.94967,1904.5730000000003,1,1686772800.0,1638.43,-93.0,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,short,1687669200.0,1911.73,1924.5463699999998,1720.5569999999998,1,1688144400.0,1931.8,-20.069999999999936,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1688652000.0,1880.17,1859.4847599999998,2068.1870000000004,1,1688684400.0,1846.17,-34.0,TP/SL/BMS/CHOCH
ETHUSDT,1h,OneHourStrategy,long,1689357600.0,1915.93,1906.264,2107.523,1,1689609600.0,1904.82,-11.110000000000127,TP/SL/BMS/CHOCH
