symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level,oi_filtered
ETHUSDT,30m,ThirtyMinStrategy,short,1672758000.0,1209.59,1222.1956199999997,1052.3433,1,1672794000.0,1225.66,-16.070000000000164,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,long,1672795800.0,1224.1,1220.74362,1383.2329999999997,1,1673479800.0,1389.39,165.2900000000002,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1673485200.0,1403.41,1398.5672599999998,1585.8533,1,1673501400.0,1395.14,-8.269999999999982,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1673546400.0,1415.55,1412.1300800000001,1599.5714999999998,1,1673569800.0,1406.04,-9.509999999999991,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1673627400.0,1411.67,1427.32896,1228.1529000000003,1,1673643600.0,1432.41,-20.74000000000001,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1673656200.0,1540.62,1439.116,1740.9005999999997,1,1678393800.0,1414.7,-125.91999999999985,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1678395600.0,1441.04,1447.6395,1253.7048000000002,1,1678498200.0,1466.24,-25.200000000000045,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1678500000.0,1461.52,1454.55506,1651.5176,1,1678514400.0,1454.3,-7.220000000000027,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1678521600.0,1421.81,1431.96822,1236.9747000000002,1,1678523400.0,1434.26,-12.450000000000045,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1678566600.0,1466.21,1445.42336,1656.8173,1,1678719600.0,1690.0,223.78999999999996,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1678721400.0,1664.68,1657.0293,1881.0883999999999,1,1678890600.0,1654.97,-9.710000000000036,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1678995000.0,1679.64,1669.12506,1897.9932,1,1678998600.0,1656.31,-23.330000000000155,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1679000400.0,1667.13,1671.91716,1450.4031000000002,1,1679005800.0,1672.69,-5.559999999999945,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1679176800.0,1779.58,1784.37162,1548.2346000000002,1,1679225400.0,1784.66,-5.080000000000155,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1679257800.0,1793.82,1842.11688,1560.6234000000002,1,1680606000.0,1864.48,-70.66000000000008,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1680656400.0,1912.5,1901.57922,2161.125,1,1680703200.0,1897.01,-15.490000000000009,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1680723000.0,1909.19,1903.74488,2157.3847,1,1680741000.0,1896.7,-12.490000000000009,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,short,1680768000.0,1876.39,1898.3279499999999,1632.4593000000002,1,1681164000.0,1902.18,-25.789999999999964,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,long,1681165800.0,1903.95,1876.9422299999999,2151.4635,1,1681264800.0,1863.81,-40.1400000000001,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,30m,ThirtyMinStrategy,short,1681266600.0,1864.87,1869.3612600000001,1622.4369000000002,1,1681282800.0,1873.8,-8.930000000000064,TP/SL/BMS/CHOCH,A,False
ETHUSDT,30m,ThirtyMinStrategy,long,1681304400.0,1890.11,1861.44885,2135.8242999999998,1,1682103600.0,1850.31,-39.799999999999955,TP/SL/BMS/CHOCH,AB,False
