symbol,timeframe,strategy,side,entry_time,entry_price,stop,tp,size,exit_time,exit_price,pnl,reason,entry_level,oi_filtered
ETHUSDT,4h,FourHourStrategy,short,1675612800.0,1619.48,1687.912,1263.1944,1,1676505600.0,1691.42,-71.94000000000005,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1677110400.0,1667.44,1588.455,2034.2768,1,1677340800.0,1584.61,-82.83000000000015,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1678564800.0,1471.97,1400.0085000000001,1795.8034,1,1679097600.0,1810.57,338.5999999999999,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1680451200.0,1781.75,1843.0581,1389.765,1,1680595200.0,1864.91,-83.16000000000008,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1681243200.0,1889.86,1956.7437,1474.0908,1,1681372800.0,1985.4,-95.54000000000019,TP/SL/BMS/CHOCH,AB,False
ETHUSDT,4h,FourHourStrategy,short,1681891200.0,1981.44,2129.0396,1545.5232,1,1694448000.0,1539.37,442.07000000000016,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1695297600.0,1583.63,1641.5529999999999,1235.2314000000001,1,1695902400.0,1652.58,-68.94999999999982,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1696262400.0,1674.33,1751.4713000000002,1305.9774,1,1698091200.0,1765.46,-91.13000000000011,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1699142400.0,1888.58,1809.7794,2304.0676,1,1701950400.0,2321.39,432.80999999999995,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1702944000.0,2237.11,2095.4339999999997,2729.2742000000003,1,1707897600.0,2755.87,518.7599999999998,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1709236800.0,3340.09,3558.0380999999998,2605.2702000000004,1,1709553600.0,3560.42,-220.32999999999993,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1710043200.0,3944.82,3831.3099,4812.6804,1,1710432000.0,3785.89,-158.9300000000003,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1711108800.0,3349.31,3562.8861,2612.4618,1,1711368000.0,3581.49,-232.17999999999984,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1714233600.0,3237.4,3076.6131,3949.628,1,1714464000.0,3007.45,-229.95000000000027,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1715356800.0,2901.6,3084.4289,2263.248,1,1715947200.0,3111.54,-209.94000000000005,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,short,1718380800.0,3406.21,3567.9361000000004,2656.8438,1,1718481600.0,3568.74,-162.52999999999975,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1721001600.0,3329.37,3141.9431999999997,4061.8313999999996,1,1721923200.0,3123.88,-205.48999999999978,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1723348800.0,2677.79,2571.03,3266.9038,1,1723406400.0,2555.38,-122.40999999999985,TP/SL/BMS/CHOCH,A,False
ETHUSDT,4h,FourHourStrategy,long,1723982400.0,2672.2,2578.9995000000004,3260.084,1,1724155200.0,2574.99,-97.21000000000004,TP/SL/BMS/CHOCH,A,False
