ts,open,high,low,close,vol
1672531200,16541.77,16545.7,16517.72,16544.19,2275.16723
1672533000,16544.19,16544.61,16508.39,16529.67,2089.66847
1672534800,16529.59,16541.8,16525.78,16534.6,1638.93201
1672536600,16534.02,16556.8,16530.62,16551.47,1951.13468
1672538400,16551.47,16555.0,16539.57,16552.89,1707.51457
1672540200,16552.89,16559.77,16538.14,16548.19,1611.32581
1672542000,16548.19,16548.19,16518.21,16529.89,2812.80041
1672543800,16529.89,16537.72,16526.74,16533.04,1429.28009
1672545600,16533.04,16535.97,16516.49,16518.59,2251.36363
1672547400,16518.31,16526.99,16511.92,16521.85,2033.64546
1672549200,16522.22,16524.0,16512.3,16521.07,2048.58468
1672551000,16521.42,16534.98,16514.79,16530.71,1668.7871
1672552800,16530.71,16550.0,16528.81,16544.63,1925.38852
1672554600,16545.02,16546.93,16538.41,16539.79,1419.51354
1672556400,16539.79,16544.57,16499.01,16522.78,3289.55667
1672558200,16522.28,16532.37,16504.17,16526.19,1895.40155
1672560000,16525.7,16534.03,16513.24,16523.23,2146.40427
1672561800,16522.83,16527.11,16508.45,16513.34,2125.51596
1672563600,16513.33,16522.63,16505.2,16514.23,2003.4674
1672565400,16514.64,16542.49,16514.22,16537.88,2097.28309
1672567200,16538.32,16547.38,16533.42,16544.07,1980.54253
1672569000,16543.69,16548.71,16533.79,16548.34,1823.22363
1672570800,16547.98,16552.67,16540.2,16544.56,1829.20618
1672572600,16544.56,16557.0,16542.14,16556.66,1910.32395
1672574400,16556.66,16572.42,16548.58,16564.27,2563.28252
1672576200,16564.06,16572.94,16555.0,16560.93,1587.20312
1672578000,16561.29,16567.26,16541.27,16550.92,2187.89837
1672579800,16550.92,16552.0,16539.05,16548.04,2191.78366
1672581600,16547.61,16558.19,16545.34,16556.53,1631.70451
1672583400,16556.15,16558.56,16540.85,16542.94,1663.28642
1672585200,16542.94,16549.78,16533.68,16542.89,1767.6181
1672587000,16543.28,16559.99,16542.0,16558.73,1453.31426
1672588800,16558.73,16584.66,16558.0,16577.68,2912.49862
1672590600,16578.16,16584.3,16559.56,16565.14,2049.63373
1672592400,16565.13,16596.64,16562.51,16582.65,2857.1389
1672594200,16582.65,16589.52,16572.11,16578.85,1857.26464
1672596000,16579.25,16603.89,16578.85,16594.11,2395.69269
1672597800,16593.68,16599.34,16586.2,16591.88,1750.67976
1672599600,16591.35,16623.65,16591.34,16618.35,2649.0259
1672601400,16617.84,16623.17,16592.76,16603.08,2060.71433
1672603200,16603.53,16628.0,16600.55,16616.08,2308.09184
1672605000,16616.08,16624.19,16601.04,16604.51,1880.96134
1672606800,16604.51,16608.31,16592.63,16601.35,1928.25135
1672608600,16601.8,16608.83,16596.99,16606.68,1728.52669
1672610400,16607.02,16613.85,16586.24,16595.55,1885.45128
1672612200,16595.55,16602.97,16592.24,16602.12,1804.74533
1672614000,16602.39,16625.0,16600.8,16608.6,1878.22655
1672615800,16608.0,16621.44,16602.61,16616.75,1968.3884
1672617600,16617.17,16629.05,16587.82,16588.45,2310.22539
