ts,oi
1776464100,107386.797
1776465000,107307.893
1776465900,107288.844
1776466800,107194.14
1776467700,107122.515
1776468600,106803.905
1776469500,106805.509
1776470400,106822.363
1776471300,106734.749
1776472200,106692.861
1776473100,106706.665
1776474000,106641.105
1776474900,106590.539
1776475800,106620.562
1776476700,106672.781
1776477600,106671.114
1776478500,106665.932
1776479400,106680.301
1776480300,106740.32
1776481200,106717.133
1776482100,106674.606
1776483000,106663.357
1776483900,106528.911
1776484800,106438.123
1776485700,106419.469
1776486600,106311.245
1776487500,106270.899
1776488400,106215.335
1776489300,106185.968
1776490200,106175.728
1776491100,106197.476
1776492000,106184.359
1776492900,106252.373
1776493800,106345.367
1776494700,106344.558
1776495600,106361.255
1776496500,106333.301
1776497400,106362.496
1776498300,106214.289
1776499200,105916.084
1776500100,105631.141
1776501000,105590.643
1776501900,105387.499
1776502800,105316.597
1776503700,104750.434
1776504600,104511.084
1776505500,104401.064
1776506400,104332.443
1776507300,103842.033
1776508200,103825.641
1776509100,103781.464
1776510000,103790.082
1776510900,103932.605
1776511800,103795.952
1776512700,103192.149
1776513600,102672.684
1776514500,102337.031
1776515400,102186.738
1776516300,102188.917
1776517200,102144.593
1776518100,102125.518
1776519000,102148.126
1776519900,102026.846
1776520800,101841.895
1776521700,101777.178
1776522600,101705.096
1776523500,101826.478
1776524400,101821.162
1776525300,101543.746
1776526200,101474.721
1776527100,101485.436
1776528000,101310.339
1776528900,101375.226
1776529800,100355.085
1776530700,100324.247
1776531600,100171.885
1776532500,99959.042
1776533400,99912.84
1776534300,99822.184
1776535200,99679.535
1776536100,99476.01
1776537000,99214.34
1776537900,98847.192
1776538800,99000.965
1776539700,98923.852
1776540600,98892.639
1776541500,98917.888
1776542400,98888.572
1776543300,98798.845
1776544200,98807.661
1776545100,98826.372
1776546000,98743.57
1776546900,98728.933
1776547800,98677.92
1776548700,98678.932
1776549600,98682.679
1776550500,98716.348
1776551400,98712.171
1776552300,98750.897
1776553200,98501.213
1776554100,98369.402
1776555000,98342.08
1776555900,98308.597
1776556800,98259.906
1776557700,98294.707
1776558600,98139.333
1776559500,98253.388
1776560400,98267.6
1776561300,98274.92
1776562200,98176.007
1776563100,98138.239
1776564000,98017.848
1776564900,98006.751
1776565800,97840.652
1776566700,97858.347
1776567600,97819.081
1776568500,97575.465
1776569400,97637.437
1776570300,97670.894
1776571200,97626.627
1776572100,97493.626
1776573000,97471.366
1776573900,97379.614
1776574800,97427.695
1776575700,97131.181
1776576600,97018.701
1776577500,97016.544
1776578400,97026.397
1776579300,97107.286
1776580200,97080.386
1776581100,97057.613
1776582000,97065.126
1776582900,96924.822
1776583800,96982.525
1776584700,97137.776
1776585600,97152.705
1776586500,97205.96
1776587400,97261.553
1776588300,97305.137
1776589200,97371.685
1776590100,97355.944
1776591000,97413.951
1776591900,97410.04
1776592800,97378.346
1776593700,97424.176
1776594600,97527.636
1776595500,97497.696
1776596400,97415.384
1776597300,97433.62
1776598200,97410.99
1776599100,97481.243
1776600000,97524.642
1776600900,97544.035
1776601800,97382.694
1776602700,97431.301
1776603600,97486.778
1776604500,97752.451
1776605400,97489.414
1776606300,97697.82
1776607200,97616.499
1776608100,97561.533
1776609000,97631.016
1776609900,97712.539
1776610800,97777.091
1776611700,97836.566
1776612600,97813.358
1776613500,97532.968
1776614400,97573.195
1776615300,97551.723
1776616200,97557.431
1776617100,97531.755
1776618000,97578.871
1776618900,97524.099
1776619800,97669.537
1776620700,97420.271
1776621600,97080.362
1776622500,96994.642
1776623400,96965.427
1776624300,97104.399
1776625200,97151.705
1776626100,97113.099
1776627000,97124.546
1776627900,97149.142
1776628800,97112.108
1776629700,97258.716
1776630600,97336.833
1776631500,97076.004
1776632400,96997.35
1776633300,96986.132
1776634200,96958.362
1776635100,96985.45
