ts,oi
1776466800,107194.14
1776470400,106822.363
1776474000,106641.105
1776477600,106671.114
1776481200,106717.133
1776484800,106438.123
1776488400,106215.335
1776492000,106184.359
1776495600,106361.255
1776499200,105916.084
1776502800,105316.597
1776506400,104332.443
1776510000,103790.082
1776513600,102672.684
1776517200,102144.593
1776520800,101841.895
1776524400,101821.162
1776528000,101310.339
1776531600,100171.885
1776535200,99679.535
1776538800,99000.965
1776542400,98888.572
1776546000,98743.57
1776549600,98682.679
1776553200,98501.213
1776556800,98259.906
1776560400,98267.6
1776564000,98017.848
1776567600,97819.081
1776571200,97626.627
1776574800,97427.695
1776578400,97026.397
1776582000,97065.126
1776585600,97152.705
1776589200,97371.685
1776592800,97378.346
1776596400,97415.384
1776600000,97524.642
1776603600,97486.778
1776607200,97616.499
1776610800,97777.091
1776614400,97573.195
1776618000,97578.871
1776621600,97080.362
1776625200,97151.705
1776628800,97112.108
1776632400,96997.35
1776636000,97382.707
1776639600,96175.566
1776643200,95695.642
1776646800,95355.192
1776650400,95230.845
1776654000,95220.276
1776657600,95286.254
1776661200,95357.827
1776664800,95388.979
1776668400,95619.039
1776672000,95159.148
1776675600,94957.325
1776679200,95021.241
1776682800,94817.991
1776686400,94744.206
1776690000,94536.234
1776693600,94985.03
1776697200,95236.228
1776700800,95323.768
1776704400,95229.42
1776708000,94214.071
1776711600,94169.649
1776715200,94729.626
1776718800,93527.811
1776722400,93392.333
1776726000,93447.595
1776729600,93250.322
1776733200,93336.36
1776736800,93523.74
1776740400,93498.207
1776744000,93480.458
1776747600,93512.504
1776751200,93978.643
1776754800,94149.091
1776758400,94183.984
1776762000,94095.552
1776765600,94763.441
1776769200,95285.147
1776772800,95888.455
1776776400,95886.084
1776780000,96149.931
1776783600,98363.702
1776787200,97727.564
1776790800,97418.396
1776794400,96562.328
1776798000,96366.868
1776801600,95727.12
1776805200,95714.08
1776808800,95709.469
1776812400,95436.584
1776816000,94836.652
1776819600,95490.039
1776823200,95676.704
1776826800,97520.621
1776830400,98593.704
1776834000,99095.975
1776837600,99757.446
1776841200,99933.493
1776844800,99808.874
1776848400,100178.293
1776852000,100415.608
1776855600,100573.361
1776859200,100765.952
1776862800,100921.03
1776866400,101806.096
1776870000,103699.988
1776873600,105962.294
1776877200,105680.611
1776880800,105421.132
1776884400,105459.571
1776888000,104318.541
1776891600,104270.767
1776895200,104242.041
1776898800,104272.06
1776902400,103867.514
1776906000,102600.849
1776909600,102533.404
1776913200,102429.839
1776916800,102408.436
1776920400,102210.128
1776924000,102343.592
1776927600,102116.355
1776931200,101900.849
1776934800,101225.556
1776938400,100283.638
1776942000,97775.443
1776945600,97559.939
1776949200,98056.981
1776952800,98007.479
1776956400,98216.741
1776960000,98357.762
1776963600,98944.441
1776967200,98142.7
1776970800,98404.546
1776974400,98668.04
1776978000,98495.188
1776981600,98636.346
1776985200,99111.628
1776988800,99156.659
1776992400,99300.378
1776996000,98844.369
1776999600,98880.93
1777003200,98009.72
1777006800,97665.959
1777010400,98350.781
1777014000,98359.982
1777017600,97355.653
1777021200,97049.467
1777024800,96438.65
1777028400,96120.595
1777032000,96330.378
1777035600,96901.887
1777039200,97261.668
1777042800,96944.601
1777046400,96811.282
1777050000,96780.059
1777053600,97519.048
1777057200,96914.263
1777060800,96843.666
1777064400,96578.127
1777068000,96430.465
1777071600,96356.713
1777075200,96175.274
1777078800,96213.057
1777082400,96241.553
1777086000,96177.086
1777089600,96137.452
1777093200,96102.049
1777096800,96175.153
1777100400,96262.077
1777104000,96248.19
1777107600,96195.809
1777111200,96225.159
1777114800,96105.199
1777118400,96181.008
1777122000,95964.156
1777125600,95863.543
1777129200,95790.597
1777132800,95809.631
1777136400,95851.676
1777140000,95871.35
1777143600,96155.327
1777147200,96269.744
1777150800,96000.786
1777154400,95831.713
1777158000,95887.233
1777161600,95901.376
1777165200,95723.717
1777168800,95733.36
1777172400,95806.679
1777176000,95694.93
1777179600,95345.349
1777183200,95721.251
1777186800,95728.005
1777190400,95835.219
1777194000,95936.992
1777197600,95927.615
1777201200,96046.029
1777204800,96077.585
1777208400,96091.515
1777212000,96154.913
1777215600,96149.165
1777219200,95845.021
1777222800,95873.529
1777226400,95694.285
1777230000,96086.06
1777233600,96242.072
1777237200,96239.878
1777240800,95576.755
1777244400,95982.164
1777248000,96213.831
1777251600,96442.47
1777255200,97290.195
1777258800,97686.451
1777262400,97947.869
1777266000,97883.062
1777269600,94950.347
1777273200,96568.741
1777276800,96631.804
1777280400,96616.102
1777284000,96822.082
1777287600,97122.175
1777291200,97269.079
1777294800,97143.553
1777298400,98118.743
1777302000,98418.893
1777305600,96574.126
1777309200,97075.607
1777312800,97184.896
1777316400,97171.907
1777320000,97196.073
1777323600,97039.951
1777327200,96937.015
1777330800,97320.369
1777334400,97559.385
1777338000,97962.497
1777341600,97908.913
1777345200,97846.591
1777348800,97984.881
1777352400,98075.385
1777356000,98855.864
1777359600,98887.992
1777363200,98625.808
1777366800,98805.08
1777370400,98772.242
1777374000,98868.308
1777377600,98931.573
1777381200,99134.389
1777384800,98390.692
1777388400,98641.893
1777392000,98300.747
1777395600,98321.047
1777399200,98321.892
1777402800,98053.528
1777406400,97751.763
1777410000,97789.894
1777413600,97492.4
1777417200,97683.029
1777420800,97638.276
1777424400,97509.886
1777428000,97440.521
1777431600,97393.094
1777435200,97811.517
1777438800,99078.521
1777442400,99222.745
1777446000,98466.655
1777449600,98085.737
1777453200,98055.544
1777456800,98496.569
1777460400,99156.338
1777464000,99233.296
1777467600,98744.428
1777471200,98012.405
1777474800,97933.659
1777478400,97527.482
1777482000,97546.795
1777485600,97692.76
1777489200,94936.272
1777492800,95182.225
1777496400,95056.78
1777500000,94898.692
1777503600,95154.46
1777507200,95496.464
1777510800,95065.22
1777514400,95032.006
1777518000,95066.633
1777521600,95209.241
1777525200,95359.711
1777528800,95473.817
1777532400,95458.918
1777536000,95053.719
1777539600,95551.569
1777543200,95696.45
1777546800,95832.182
1777550400,95527.777
1777554000,95543.16
1777557600,95395.649
1777561200,95672.833
1777564800,96100.744
1777568400,96158.176
1777572000,96089.639
1777575600,96019.905
1777579200,95743.286
1777582800,95405.231
1777586400,95436.751
1777590000,95371.37
1777593600,95322.905
1777597200,95246.598
1777600800,95571.184
1777604400,95632.328
1777608000,95822.31
1777611600,96091.181
1777615200,96100.41
1777618800,96252.41
1777622400,96873.304
1777626000,97471.389
1777629600,97860.83
1777633200,98346.484
1777636800,98746.755
1777640400,100490.429
1777644000,102811.639
1777647600,102760.223
1777651200,104420.553
1777654800,105069.515
1777658400,105233.032
1777662000,105087.444
1777665600,104911.988
1777669200,104328.85
1777672800,103965.605
1777676400,104020.377
1777680000,103865.007
1777683600,103738.69
1777687200,103883.13
1777690800,103830.405
1777694400,104084.956
1777698000,103271.021
1777701600,102660.761
1777705200,102734.839
1777708800,102516.291
1777712400,102473.665
1777716000,102514.697
1777719600,102419.441
1777723200,102138.567
1777726800,102128.889
1777730400,102298.786
1777734000,102071.494
1777737600,102067.312
1777741200,102001.364
