ts,oi
1776466800,2345419.426
1776470400,2326786.022
1776474000,2316967.285
1776477600,2316093.937
1776481200,2318221.991
1776484800,2284543.934
1776488400,2271635.912
1776492000,2268918.425
1776495600,2266437.996
1776499200,2264806.715
1776502800,2197335.879
1776506400,2185905.281
1776510000,2167237.387
1776513600,2170507.164
1776517200,2159522.075
1776520800,2161312.324
1776524400,2157992.218
1776528000,2152765.511
1776531600,2146592.996
1776535200,2147360.949
1776538800,2158706.049
1776542400,2157781.232
1776546000,2155166.347
1776549600,2153309.174
1776553200,2155090.37
1776556800,2153974.298
1776560400,2156149.325
1776564000,2159479.038
1776567600,2158642.263
1776571200,2162862.164
1776574800,2142475.318
1776578400,2142705.779
1776582000,2137757.133
1776585600,2164950.688
1776589200,2173138.749
1776592800,2173069.133
1776596400,2172169.373
1776600000,2166373.31
1776603600,2170921.653
1776607200,2180707.411
1776610800,2174971.978
1776614400,2161598.128
1776618000,2164623.368
1776621600,2159562.433
1776625200,2159055.189
1776628800,2161591.884
1776632400,2156645.427
1776636000,2156442.148
1776639600,2161303.959
1776643200,2165630.359
1776646800,2166449.35
1776650400,2163029.973
1776654000,2167641.239
1776657600,2164198.929
1776661200,2161907.857
1776664800,2157508.443
1776668400,2160861.84
1776672000,2147053.067
1776675600,2153804.523
1776679200,2162688.29
1776682800,2156860.901
1776686400,2162812.232
1776690000,2166887.497
1776693600,2171806.567
1776697200,2155936.851
1776700800,2153077.65
1776704400,2147831.043
1776708000,2143763.856
1776711600,2131765.685
1776715200,2134654.599
1776718800,2150474.623
1776722400,2118014.585
1776726000,2117864.063
1776729600,2116715.517
1776733200,2118774.358
1776736800,2121762.666
1776740400,2123906.915
1776744000,2114728.249
1776747600,2115990.67
1776751200,2120792.853
1776754800,2124001.191
1776758400,2129286.433
1776762000,2131210.248
1776765600,2142419.891
1776769200,2152123.154
1776772800,2133060.746
1776776400,2130947.607
1776780000,2133020.317
1776783600,2128882.383
1776787200,2127440.122
1776790800,2132680.833
1776794400,2122967.82
1776798000,2118157.036
1776801600,2120851.134
1776805200,2143441.399
1776808800,2139286.965
1776812400,2122199.748
1776816000,2126869.428
1776819600,2132145.366
1776823200,2129623.978
1776826800,2181457.598
1776830400,2191444.832
1776834000,2193243.789
1776837600,2222533.902
1776841200,2227188.274
1776844800,2227440.907
1776848400,2234979.838
1776852000,2240218.404
1776855600,2240627.229
1776859200,2236157.312
1776862800,2245423.676
1776866400,2265993.687
1776870000,2278635.149
1776873600,2315605.554
1776877200,2306185.633
1776880800,2302008.659
1776884400,2315907.484
1776888000,2332747.859
1776891600,2338986.476
1776895200,2339959.622
