ts,oi
1778511600,2100005.503
1778513400,2095121.674
1778515200,2095574.575
1778517000,2086106.833
1778518800,2082249.497
1778520600,2079308.226
1778522400,2077584.595
1778524200,2075209.589
1778526000,2071671.285
1778527800,2069659.472
1778529600,2067809.716
1778531400,2065740.133
1778533200,2065279.422
1778535000,2063192.399
1778536800,2063108.44
1778538600,2064803.166
1778540400,2068137.635
1778542200,2066884.526
1778544000,2066572.213
1778545800,2071104.311
1778547600,2069956.831
1778549400,2069092.859
1778551200,2092886.46
1778553000,2102758.96
1778554800,2105908.432
1778556600,2107982.951
1778558400,2109779.791
1778560200,2110592.543
1778562000,2109685.744
1778563800,2110931.779
1778565600,2112611.442
1778567400,2117147.665
1778569200,2131349.187
1778571000,2134988.064
1778572800,2136192.417
1778574600,2167293.716
1778576400,2176650.827
1778578200,2192087.37
1778580000,2186277.371
1778581800,2188799.067
1778583600,2189053.49
1778585400,2188531.743
1778587200,2192166.824
1778589000,2198110.71
1778590800,2194582.932
1778592600,2196577.545
1778594400,2202064.518
1778596200,2208159.819
1778598000,2225659.208
1778599800,2241362.998
1778601600,2249414.595
1778603400,2255193.777
1778605200,2265150.827
1778607000,2263107.47
1778608800,2262091.897
1778610600,2262284.092
1778612400,2256708.084
1778614200,2258231.218
1778616000,2251501.448
1778617800,2249997.405
1778619600,2243992.842
1778621400,2241439.103
1778623200,2239344.297
1778625000,2233343.294
1778626800,2232249.19
1778628600,2229985.3
1778630400,2230684.379
1778632200,2228949.148
1778634000,2228178.071
1778635800,2224624.053
1778637600,2225352.019
1778639400,2223123.126
1778641200,2220828.613
1778643000,2221662.172
1778644800,2217590.323
1778646600,2216379.212
1778648400,2204987.611
1778650200,2202988.226
1778652000,2197149.189
1778653800,2198898.18
1778655600,2198357.339
1778657400,2196056.142
1778659200,2196317.752
1778661000,2197058.263
1778662800,2179257.841
1778664600,2158931.528
1778666400,2155264.503
1778668200,2146324.608
1778670000,2144682.498
1778671800,2141103.532
1778673600,2143984.407
1778675400,2136377.305
1778677200,2143863.85
1778679000,2151837.551
1778680800,2189115.063
1778682600,2200920.758
1778684400,2208403.246
1778686200,2219421.96
1778688000,2216423.615
1778689800,2239812.27
1778691600,2248399.896
1778693400,2257587.328
1778695200,2257346.886
1778697000,2252625.38
1778698800,2249852.225
1778700600,2248035.918
1778702400,2248768.557
1778704200,2250480.448
1778706000,2249522.709
1778707800,2244723.023
1778709600,2243662.841
1778711400,2246564.496
1778713200,2246808.188
1778715000,2249386.333
1778716800,2250064.375
1778718600,2248493.022
1778720400,2249566.369
1778722200,2248988.941
1778724000,2249601.575
1778725800,2247119.808
1778727600,2249446.116
1778729400,2253138.206
1778731200,2249571.524
1778733000,2250583.349
1778734800,2250781.997
1778736600,2249471.944
1778738400,2231463.397
1778740200,2219295.407
1778742000,2224952.395
1778743800,2222578.437
1778745600,2224426.44
1778747400,2221588.028
1778749200,2217774.745
1778751000,2222072.988
1778752800,2222243.744
1778754600,2219461.352
1778756400,2214090.379
1778758200,2213715.475
1778760000,2214540.951
1778761800,2217996.761
1778763600,2213512.184
1778765400,2217080.135
1778767200,2227701.943
1778769000,2220913.223
1778770800,2191387.398
1778772600,2178342.441
1778774400,2182089.881
1778776200,2174369.338
1778778000,2150193.371
1778779800,2127235.102
1778781600,2120738.492
1778783400,2126895.141
1778785200,2127138.352
1778787000,2114907.216
1778788800,2114951.164
1778790600,2101830.99
1778792400,2095931.229
1778794200,2087588.111
1778796000,2086394.184
1778797800,2087191.719
1778799600,2086171.251
1778801400,2083041.784
1778803200,2090453.926
1778805000,2094121.056
1778806800,2097207.495
1778808600,2097539.285
1778810400,2096122.135
1778812200,2097226.576
1778814000,2099843.344
1778815800,2102367.709
1778817600,2103426.208
1778819400,2101878.393
1778821200,2103655.272
1778823000,2109624.493
1778824800,2141118.784
1778826600,2151582.813
1778828400,2151245.104
1778830200,2150815.556
1778832000,2142205.605
1778833800,2137393.901
1778835600,2143125.618
1778837400,2149349.606
1778839200,2155094.722
1778841000,2162206.417
1778842800,2167253.445
1778844600,2166677.428
1778846400,2169400.565
1778848200,2175526.809
1778850000,2178571.245
1778851800,2182109.559
1778853600,2204745.808
1778855400,2240409.734
1778857200,2260446.919
1778859000,2270639.523
1778860800,2290811.981
1778862600,2302171.761
1778864400,2297555.377
1778866200,2294815.305
1778868000,2292534.818
1778869800,2292606.558
1778871600,2292817.977
1778873400,2289522.135
1778875200,2289145.712
1778877000,2287437.379
1778878800,2276574.306
1778880600,2274505.234
1778882400,2272308.137
1778884200,2273598.285
1778886000,2274380.321
1778887800,2276129.74
1778889600,2276025.783
1778891400,2274736.416
1778893200,2276707.261
1778895000,2277405.007
1778896800,2275887.497
1778898600,2277107.305
1778900400,2277110.079
1778902200,2276254.72
1778904000,2275265.665
1778905800,2275746.046
1778907600,2275769.756
1778909400,2277377.462
1778911200,2277635.233
1778913000,2281442.521
1778914800,2286736.086
1778916600,2267677.731
1778918400,2267551.752
1778920200,2274607.389
1778922000,2276752.856
1778923800,2261770.412
1778925600,2276930.529
1778927400,2298589.954
1778929200,2300339.825
1778931000,2301809.459
1778932800,2302801.745
1778934600,2306322.277
1778936400,2308818.551
1778938200,2311398.837
1778940000,2309912.463
1778941800,2313266.142
1778943600,2309299.637
1778945400,2311873.528
1778947200,2313440.491
1778949000,2318860.921
1778950800,2317779.084
1778952600,2315839.427
1778954400,2314581.025
1778956200,2312745.547
1778958000,2311508.928
1778959800,2310685.549
1778961600,2307756.602
1778963400,2306608.248
1778965200,2305511.296
1778967000,2303389.183
1778968800,2301798.303
1778970600,2301322.646
1778972400,2300735.098
1778974200,2299755.645
1778976000,2299473.76
1778977800,2299529.013
1778979600,2298618.392
1778981400,2302393.532
1778983200,2317867.203
1778985000,2319543.705
1778986800,2320221.707
1778988600,2320186.147
1778990400,2319680.356
1778992200,2312088.053
1778994000,2310437.801
1778995800,2303185.766
1778997600,2300842.285
1778999400,2300496.988
1779001200,2300559.759
1779003000,2300373.674
1779004800,2299569.316
1779006600,2300571.431
1779008400,2300862.607
1779010200,2300584.448
1779012000,2300182.715
1779013800,2300693.364
1779015600,2296239.693
1779017400,2296070.705
1779019200,2296572.277
1779021000,2298528.834
1779022800,2297579.245
1779024600,2296334.234
1779026400,2296910.801
1779028200,2293017.935
1779030000,2294807.971
1779031800,2294419.213
1779033600,2294435.853
1779035400,2293843.578
1779037200,2294795.771
1779039000,2295834.415
1779040800,2295748.156
1779042600,2296479.793
1779044400,2297695.624
1779046200,2295548.655
1779048000,2293645.171
1779049800,2291944.823
