區間,strategy,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.15,0.002,22.549999999999272,0.06521739130434782,46,0.008166726964778319,1.9984607392299854,1.0021233541651169
2023-01-01~2023-07-01,smc_loose,1.2,0.004,14032.089999999993,0.1388888888888889,36,3.8016757949252646,0.45176103772865517,2.7576605928058107
2023-07-01~2024-01-01,smc,1.05,0.002,13046.80999999999,0.3142857142857143,35,5.904532486672585,1.249062953031226,2.921021556039809
2023-07-01~2024-01-01,smc_loose,1.2,0.005,17977.509999999984,0.17391304347826086,23,4.979594353807392,0.19598392460701597,3.7204645708016395
2024-01-01~2024-07-01,smc,1.1,0.002,-3868.1099999999715,0.05714285714285714,35,-1.0832888694024518,0.0,0.7680538665784017
2024-01-01~2024-07-01,smc_loose,1.15,0.002,42584.239999999954,0.10638297872340426,94,2.328376251763184,0.5525342079327767,1.855892538899737
2024-07-01~2025-01-01,smc,1.1,0.002,17900.88999999997,0.14285714285714285,42,2.6832371095810497,0.3141610652886212,1.8393065703184357
2024-07-01~2025-01-01,smc_loose,1.15,0.002,24030.67000000002,0.09090909090909091,77,1.5320845604022348,3.5574815295932596,1.5050776438017692
2025-01-01~2025-07-01,smc,1.05,0.002,-5886.680000000008,0.11627906976744186,43,-1.0688868519043182,3.6020006137187948,0.8188139068116684
2025-01-01~2025-07-01,smc_loose,1.1,0.005,18345.099999999977,0.08928571428571429,112,0.8574759163376784,2.317766492179316,1.2331340002958475
2025-07-01~2026-01-01,smc,1.05,0.002,-1040.159999999989,0.0,1,,0.0,0.0
2025-07-01~2026-01-01,smc_loose,1.05,0.004,-1745.9900000000198,0.06666666666666667,15,-0.993671000456626,96.30513100448296,0.7961375670642338
