區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2024-01-01~2024-07-01,smc,1.05,0.002,-8325.63999999997,0.06976744186046512,43
2024-01-01~2024-07-01,smc,1.05,0.003,-8325.63999999997,0.06976744186046512,43
2024-01-01~2024-07-01,smc,1.05,0.004,-8325.63999999997,0.06976744186046512,43
2024-01-01~2024-07-01,smc,1.05,0.005,-8325.63999999997,0.06976744186046512,43
2024-01-01~2024-07-01,smc,1.1,0.002,-10206.889999999978,0.027777777777777776,36
2024-01-01~2024-07-01,smc,1.1,0.003,-10206.889999999978,0.027777777777777776,36
2024-01-01~2024-07-01,smc,1.1,0.004,-10206.889999999978,0.027777777777777776,36
2024-01-01~2024-07-01,smc,1.1,0.005,-10206.889999999978,0.027777777777777776,36
2024-01-01~2024-07-01,smc,1.15,0.002,-6718.169999999976,0.02857142857142857,35
2024-01-01~2024-07-01,smc,1.15,0.003,-6718.169999999976,0.02857142857142857,35
2024-01-01~2024-07-01,smc,1.15,0.004,-6718.169999999976,0.02857142857142857,35
2024-01-01~2024-07-01,smc,1.15,0.005,-6718.169999999976,0.02857142857142857,35
2024-01-01~2024-07-01,smc,1.2,0.002,-15717.999999999978,0.0,33
2024-01-01~2024-07-01,smc,1.2,0.003,-15717.999999999978,0.0,33
2024-01-01~2024-07-01,smc,1.2,0.004,-15717.999999999978,0.0,33
2024-01-01~2024-07-01,smc,1.2,0.005,-15717.999999999978,0.0,33
2024-01-01~2024-07-01,smc_loose,1.05,0.002,18512.8200000001,0.22282608695652173,184
2024-01-01~2024-07-01,smc_loose,1.05,0.003,18512.8200000001,0.22282608695652173,184
2024-01-01~2024-07-01,smc_loose,1.05,0.004,18512.8200000001,0.22282608695652173,184
2024-01-01~2024-07-01,smc_loose,1.05,0.005,18512.8200000001,0.22282608695652173,184
2024-01-01~2024-07-01,smc_loose,1.1,0.002,15379.340000000004,0.13761467889908258,109
2024-01-01~2024-07-01,smc_loose,1.1,0.003,15379.340000000004,0.13761467889908258,109
2024-01-01~2024-07-01,smc_loose,1.1,0.004,15379.340000000004,0.13761467889908258,109
2024-01-01~2024-07-01,smc_loose,1.1,0.005,15379.340000000004,0.13761467889908258,109
2024-01-01~2024-07-01,smc_loose,1.15,0.002,17404.74000000004,0.125,72
2024-01-01~2024-07-01,smc_loose,1.15,0.003,17404.74000000004,0.125,72
2024-01-01~2024-07-01,smc_loose,1.15,0.004,17404.74000000004,0.125,72
2024-01-01~2024-07-01,smc_loose,1.15,0.005,17404.74000000004,0.125,72
2024-01-01~2024-07-01,smc_loose,1.2,0.002,17200.35,0.14814814814814814,27
2024-01-01~2024-07-01,smc_loose,1.2,0.003,17200.35,0.14814814814814814,27
2024-01-01~2024-07-01,smc_loose,1.2,0.004,17200.35,0.14814814814814814,27
2024-01-01~2024-07-01,smc_loose,1.2,0.005,17200.35,0.14814814814814814,27
