應用區間,策略,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-07-01~2024-01-01,smc,1.15,0.002,-1.362752,0.1081,37,-8.142927664527265,0.0,0.25230498851842925
2023-07-01~2024-01-01,smc_loose,1.2,0.005,-11.037596,0.0481,104,-18.665601852466004,0.0,0.05147573439551138
2024-01-01~2024-07-01,smc,1.05,0.002,-1.275735,0.0943,53,-17.305891482549587,478.74291585256555,0.07501405573967494
2024-01-01~2024-07-01,smc_loose,1.1,0.004,-15.572904,0.0978,368,-14.776139417871493,0.0,0.09295214389704755
2024-07-01~2025-01-01,smc,1.15,0.002,-2.92187,0.1404,57,-13.20370611486382,0.0,0.056479117166045235
2024-07-01~2025-01-01,smc_loose,1.2,0.005,-15.843619,0.0732,205,-13.920814863842967,0.0,0.07384922592276799
2025-01-01~2025-07-01,smc,1.1,0.002,-2.312908,0.1356,59,-14.917001255080923,0.0,0.05079240843809564
2025-01-01~2025-07-01,smc_loose,1.15,0.004,-9.93788,0.0427,164,-14.951350121584863,0.0,0.05762979792929376
2025-07-01~2026-01-01,smc,1.05,0.002,-0.051,0.0,1,,,
2025-07-01~2026-01-01,smc_loose,1.15,0.002,-2.718,0.0,18,-6.3185683228359384e+16,0.0,0.0
