區間,strategy,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.05,0.002,8365.499999999989,0.4,20,7.477517270375888,0.12764779307561652,3.326405980160681
2023-01-01~2023-07-01,smc_loose,1.2,0.002,9085.220000000008,0.13333333333333333,30,3.0127694646901317,0.5019750196241972,2.106578532287319
2023-07-01~2024-01-01,smc,1.05,0.002,-2430.8399999999965,0.07692307692307693,13,-4.265057345409877,0.0,0.4718688080091781
2023-07-01~2024-01-01,smc_loose,1.1,0.005,10363.140000000007,0.21428571428571427,28,3.906304225302331,0.380432791652118,2.196772465020026
2024-01-01~2024-07-01,smc,1.15,0.002,183.48999999996158,0.058823529411764705,17,0.06359365785501347,0.8323526724532045,1.0173498072506253
2024-01-01~2024-07-01,smc_loose,1.2,0.004,37248.270000000004,0.13793103448275862,29,4.459695993311098,0.14372757640201267,3.912132389732556
2024-07-01~2025-01-01,smc,1.05,0.002,5481.139999999992,0.25,12,3.6013199700768235,0.8500147560023656,1.8954384612117225
2024-07-01~2025-01-01,smc_loose,1.2,0.003,32999.599999999984,0.12121212121212122,33,3.1212966532261106,0.1767061596601503,2.3396810627290914
2025-01-01~2025-07-01,smc,1.05,0.002,7885.760000000009,0.25,12,3.5831095633901593,0.5350508947859963,1.868981081509954
2025-01-01~2025-07-01,smc_loose,1.2,0.002,13880.75999999998,0.08823529411764706,34,1.1712110976905659,0.36124526424729325,1.3460220240432248
