區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2024-01-01~2024-07-01,smc,1.05,0.002,-0.43331,0.2727,22,-14.974838884727925,0.0,0.07932412895820241
2024-01-01~2024-07-01,smc,1.05,0.003,-0.43331,0.2727,22,-14.974838884727925,0.0,0.07932412895820241
2024-01-01~2024-07-01,smc,1.05,0.004,-0.43331,0.2727,22,-14.974838884727925,0.0,0.07932412895820241
2024-01-01~2024-07-01,smc,1.05,0.005,-0.43331,0.2727,22,-14.974838884727925,0.0,0.07932412895820241
2024-01-01~2024-07-01,smc,1.1,0.002,-0.83331,0.2727,22,-14.679980370958061,0.0,0.04288022865488607
2024-01-01~2024-07-01,smc,1.1,0.003,-0.83331,0.2727,22,-14.679980370958061,0.0,0.04288022865488607
2024-01-01~2024-07-01,smc,1.1,0.004,-0.83331,0.2727,22,-14.679980370958061,0.0,0.04288022865488607
2024-01-01~2024-07-01,smc,1.1,0.005,-0.83331,0.2727,22,-14.679980370958061,0.0,0.04288022865488607
2024-01-01~2024-07-01,smc,1.15,0.002,-1.23331,0.2727,22,-14.520017865565402,0.0,0.029381486488757484
2024-01-01~2024-07-01,smc,1.15,0.003,-1.23331,0.2727,22,-14.520017865565402,0.0,0.029381486488757484
2024-01-01~2024-07-01,smc,1.15,0.004,-1.23331,0.2727,22,-14.520017865565402,0.0,0.029381486488757484
2024-01-01~2024-07-01,smc,1.15,0.005,-1.23331,0.2727,22,-14.520017865565402,0.0,0.029381486488757484
2024-01-01~2024-07-01,smc,1.2,0.002,-1.63331,0.2727,22,-14.428575557014929,0.0,0.022346716169369243
2024-01-01~2024-07-01,smc,1.2,0.003,-1.63331,0.2727,22,-14.428575557014929,0.0,0.022346716169369243
2024-01-01~2024-07-01,smc,1.2,0.004,-1.63331,0.2727,22,-14.428575557014929,0.0,0.022346716169369243
2024-01-01~2024-07-01,smc,1.2,0.005,-1.63331,0.2727,22,-14.428575557014929,0.0,0.022346716169369243
2024-01-01~2024-07-01,smc_loose,1.05,0.002,-6.027705,0.1763,295,-13.1165494820454,0.0,0.17296125214274677
2024-01-01~2024-07-01,smc_loose,1.05,0.003,-6.420406,0.1683,309,-13.551749202891386,0.0,0.1598644820055216
2024-01-01~2024-07-01,smc_loose,1.05,0.004,-6.561043,0.1456,309,-14.33336889021267,0.0,0.137379323939104
2024-01-01~2024-07-01,smc_loose,1.05,0.005,-6.549339,0.1485,303,-14.508588443305406,0.0,0.13852469679599042
2024-01-01~2024-07-01,smc_loose,1.1,0.002,-7.150909,0.1768,198,-12.114328487918744,0.0,0.15511211653979
2024-01-01~2024-07-01,smc_loose,1.1,0.003,-7.293039,0.1739,207,-11.97021450065456,0.0,0.15354460336825562
2024-01-01~2024-07-01,smc_loose,1.1,0.004,-9.197497,0.1281,242,-13.408773158458827,0.0,0.11454597320678474
2024-01-01~2024-07-01,smc_loose,1.1,0.005,-8.856099,0.1293,232,-13.372355521990404,0.0,0.11841340444202891
2024-01-01~2024-07-01,smc_loose,1.15,0.002,-6.341843,0.1239,113,-13.118832063887377,0.0,0.11170559034112255
2024-01-01~2024-07-01,smc_loose,1.15,0.003,-6.805108,0.125,120,-13.324508566537006,0.0,0.10541325168322901
2024-01-01~2024-07-01,smc_loose,1.15,0.004,-7.349018,0.1159,138,-12.90464158434252,0.0,0.09986031300826867
2024-01-01~2024-07-01,smc_loose,1.15,0.005,-7.192605,0.1176,136,-12.813000877778492,0.0,0.10181082196484921
2024-01-01~2024-07-01,smc_loose,1.2,0.002,-5.790312,0.16,75,-12.871850381518932,0.0,0.12488361639695837
2024-01-01~2024-07-01,smc_loose,1.2,0.003,-6.8123,0.1529,85,-13.535103761097078,0.0,0.10868526366733895
2024-01-01~2024-07-01,smc_loose,1.2,0.004,-6.964352,0.1354,96,-12.765096153836812,0.0,0.10715191647453565
2024-01-01~2024-07-01,smc_loose,1.2,0.005,-6.580369,0.1383,94,-12.387820928928182,0.0,0.11269986172085851
