區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.05,0.002,-0.526586,0.25,40,-7.581394192451715,0.0,0.3733625738111183
2023-01-01~2023-07-01,smc_loose,1.05,0.002,-7.095373,0.1324,340,-13.52821210432542,409.193985944894,0.16140723353162906
2023-07-01~2024-01-01,smc,1.2,0.002,-3.507439,0.0,31,-21.957343325395055,0.0,0.0
2023-07-01~2024-01-01,smc_loose,1.15,0.002,-2.181732,0.1132,53,-9.273382156831865,0.0,0.2196692209974537
2024-01-01~2024-07-01,smc,1.2,0.002,-3.060705,0.1892,37,-15.93034805125708,325.6144653615959,0.01721281408339635
2024-01-01~2024-07-01,smc_loose,1.2,0.004,-11.051003,0.0932,161,-12.967486190212265,0.0,0.07206816802345421
2024-07-01~2025-01-01,smc,1.2,0.002,-2.113225,0.0233,43,-11.849049371370523,0.0,0.0015068786768058634
2024-07-01~2025-01-01,smc_loose,1.15,0.002,-9.464287,0.1088,147,-14.445384439668386,0.0,0.10278120757770963
2025-01-01~2025-07-01,smc,1.1,0.002,-1.439404,0.0625,32,-16.028556122456443,0.0,0.0647517777614346
2025-01-01~2025-07-01,smc_loose,1.15,0.005,-5.244696,0.1416,113,-12.038461760431076,0.0,0.08761730922598378
