區間,strategy,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2024-07-01~2025-01-01,smc,1.05,0.002,8377.930000000008,0.2222222222222222,36,1.8448426780013696,1.0779869061999052,1.3719665911006096
2024-07-01~2025-01-01,smc,1.05,0.003,8377.930000000008,0.2222222222222222,36,1.8448426780013696,1.0779869061999052,1.3719665911006096
2024-07-01~2025-01-01,smc,1.05,0.004,8377.930000000008,0.2222222222222222,36,1.8448426780013696,1.0779869061999052,1.3719665911006096
2024-07-01~2025-01-01,smc,1.05,0.005,8377.930000000008,0.2222222222222222,36,1.8448426780013696,1.0779869061999052,1.3719665911006096
2024-07-01~2025-01-01,smc,1.1,0.002,-6851.250000000007,0.07407407407407407,27,-2.187048373350279,2.368132131460503,0.6418592737603923
2024-07-01~2025-01-01,smc,1.1,0.003,-6851.250000000007,0.07407407407407407,27,-2.187048373350279,2.368132131460503,0.6418592737603923
2024-07-01~2025-01-01,smc,1.1,0.004,-6851.250000000007,0.07407407407407407,27,-2.187048373350279,2.368132131460503,0.6418592737603923
2024-07-01~2025-01-01,smc,1.1,0.005,-6851.250000000007,0.07407407407407407,27,-2.187048373350279,2.368132131460503,0.6418592737603923
2024-07-01~2025-01-01,smc,1.15,0.002,-16184.199999999997,0.0,22,-30.715967066880502,0.0,0.0
2024-07-01~2025-01-01,smc,1.15,0.003,-16184.199999999997,0.0,22,-30.715967066880502,0.0,0.0
2024-07-01~2025-01-01,smc,1.15,0.004,-16184.199999999997,0.0,22,-30.715967066880502,0.0,0.0
2024-07-01~2025-01-01,smc,1.15,0.005,-16184.199999999997,0.0,22,-30.715967066880502,0.0,0.0
2024-07-01~2025-01-01,smc,1.2,0.002,-16184.199999999997,0.0,22,-30.715967066880502,0.0,0.0
2024-07-01~2025-01-01,smc,1.2,0.003,-16184.199999999997,0.0,22,-30.715967066880502,0.0,0.0
2024-07-01~2025-01-01,smc,1.2,0.004,-16184.199999999997,0.0,22,-30.715967066880502,0.0,0.0
2024-07-01~2025-01-01,smc,1.2,0.005,-16184.199999999997,0.0,22,-30.715967066880502,0.0,0.0
2024-07-01~2025-01-01,smc_loose,1.05,0.002,-15705.770000000019,0.14414414414414414,222,-0.658006614462593,1.8593571357837975,0.887400565342611
2024-07-01~2025-01-01,smc_loose,1.05,0.003,-12121.949999999975,0.14096916299559473,227,-0.4958309853264961,1.7227075639995586,0.91235420384868
2024-07-01~2025-01-01,smc_loose,1.05,0.004,-1750.3700000000244,0.1509433962264151,212,-0.07702407059603669,1.5020445888620753,0.9859591048711766
2024-07-01~2025-01-01,smc_loose,1.05,0.005,1639.9799999999595,0.1542056074766355,214,0.07207435882428977,1.1447059088199252,1.0132899459927283
2024-07-01~2025-01-01,smc_loose,1.1,0.002,42584.65999999998,0.13934426229508196,122,1.9864035067585917,0.4511214647184976,1.549860554973001
2024-07-01~2025-01-01,smc_loose,1.1,0.003,55379.14000000003,0.15517241379310345,116,2.588380559299757,0.4077123526038205,1.7674985243648538
2024-07-01~2025-01-01,smc_loose,1.1,0.004,57334.66000000005,0.15789473684210525,114,2.7126664344386486,0.28200660848671516,1.8168698915943766
2024-07-01~2025-01-01,smc_loose,1.1,0.005,28123.159999999996,0.12096774193548387,124,1.421064023378811,0.4254567993898925,1.372070046090753
2024-07-01~2025-01-01,smc_loose,1.15,0.002,25778.089999999997,0.125,56,1.865433455933874,0.7162287334240072,1.5308104993777236
2024-07-01~2025-01-01,smc_loose,1.15,0.003,44368.130000000005,0.175,40,3.8938604441924483,0.5652800203082246,2.44115303598487
2024-07-01~2025-01-01,smc_loose,1.15,0.004,19973.19000000001,0.10714285714285714,56,1.566233265766811,0.5958363785656945,1.4605699132389822
2024-07-01~2025-01-01,smc_loose,1.15,0.005,11856.390000000014,0.07792207792207792,77,0.7680654454128059,1.6189549134647918,1.2231352558668944
2024-07-01~2025-01-01,smc_loose,1.2,0.002,-15836.93000000003,0.04,50,-1.5747016035370958,1.9901924434421137,0.6557655343634977
2024-07-01~2025-01-01,smc_loose,1.2,0.003,-27186.47000000003,0.018867924528301886,53,-4.074823213658056,0.0,0.33122720858974153
2024-07-01~2025-01-01,smc_loose,1.2,0.004,-12218.999999999993,0.034482758620689655,58,-1.3115140704088677,0.0,0.6799021290084276
2024-07-01~2025-01-01,smc_loose,1.2,0.005,-10387.96999999998,0.038461538461538464,78,-0.7080447559184052,1.951673220050787,0.8070715501403697
