區間,strategy,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.05,0.002,-404.33000000000175,0.25,4,,4.421885578876119,0.8123445215906132
2023-01-01~2023-07-01,smc,1.05,0.003,-404.33000000000175,0.25,4,,4.421885578876119,0.8123445215906132
2023-01-01~2023-07-01,smc,1.05,0.004,-404.33000000000175,0.25,4,,4.421885578876119,0.8123445215906132
2023-01-01~2023-07-01,smc,1.05,0.005,-404.33000000000175,0.25,4,,4.421885578876119,0.8123445215906132
2023-01-01~2023-07-01,smc,1.1,0.002,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.1,0.003,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.1,0.004,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.1,0.005,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.15,0.002,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.15,0.003,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.15,0.004,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.15,0.005,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.2,0.002,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.2,0.003,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.2,0.004,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc,1.2,0.005,-2839.34,0.0,4,,0.0,0.0
2023-01-01~2023-07-01,smc_loose,1.05,0.002,6484.309999999998,0.3191489361702128,47,2.0657835658805785,0.761635487875823,1.3657325440716537
2023-01-01~2023-07-01,smc_loose,1.05,0.003,6201.739999999998,0.3,50,1.9308223603698762,0.6507034054070554,1.3448369045447872
2023-01-01~2023-07-01,smc_loose,1.05,0.004,9414.759999999991,0.3333333333333333,48,2.9870824666077307,0.8228491023190715,1.5841461848356369
2023-01-01~2023-07-01,smc_loose,1.05,0.005,9195.909999999993,0.3333333333333333,48,2.9027648209877137,0.8228491023190715,1.5629236813463283
2023-01-01~2023-07-01,smc_loose,1.1,0.002,-3954.0099999999984,0.12903225806451613,31,-1.7179927122729224,6.079471834852305,0.7379853950751453
2023-01-01~2023-07-01,smc_loose,1.1,0.003,-4189.939999999999,0.12903225806451613,31,-1.8962032236222421,2.2836224536823666,0.7181695150562863
