區間,strategy,tp_r,tol_fvg,總損益,勝率,單數,sharpe,max_drawdown,profit_factor
2024-01-01~2024-07-01,smc,1.05,0.002,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.05,0.003,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.05,0.004,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.05,0.005,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.1,0.002,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.1,0.003,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.1,0.004,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.1,0.005,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.15,0.002,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.15,0.003,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.15,0.004,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.15,0.005,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.2,0.002,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.2,0.003,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.2,0.004,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc,1.2,0.005,0.0,0.0,0,,,
2024-01-01~2024-07-01,smc_loose,1.05,0.002,2308.1199999999953,0.24528301886792453,53,0.3094660032899071,13.74930632847902,1.050216312708657
2024-01-01~2024-07-01,smc_loose,1.05,0.003,4008.510000000002,0.25,52,0.5238433727300953,13.74930632847902,1.087421727380107
2024-01-01~2024-07-01,smc_loose,1.05,0.004,11444.029999999984,0.27450980392156865,51,1.5033339360465936,13.74930632847902,1.2708675003639087
2024-01-01~2024-07-01,smc_loose,1.05,0.005,18562.60999999998,0.3,50,2.4598010872362317,13.74930632847902,1.4760975442104436
2024-01-01~2024-07-01,smc_loose,1.1,0.002,17918.599999999955,0.2,35,2.4873977062700945,1.8149318435072157,1.587650953974347
2024-01-01~2024-07-01,smc_loose,1.1,0.003,27224.299999999967,0.225,40,3.1584033351305445,0.7470378639411063,1.7804221239092786
2024-01-01~2024-07-01,smc_loose,1.1,0.004,19769.61999999995,0.20512820512820512,39,2.422514456934557,0.7470378639411063,1.5572734176315997
2024-01-01~2024-07-01,smc_loose,1.1,0.005,25506.459999999977,0.21428571428571427,42,2.7974105353481686,0.7470378639411063,1.6675795795418518
2024-01-01~2024-07-01,smc_loose,1.15,0.002,23900.619999999988,0.18181818181818182,22,3.947784854727529,0.1788181816620083,2.4146480340453724
2024-01-01~2024-07-01,smc_loose,1.15,0.003,23900.619999999988,0.18181818181818182,22,3.947784854727529,0.1788181816620083,2.4146480340453724
2024-01-01~2024-07-01,smc_loose,1.15,0.004,23900.619999999988,0.18181818181818182,22,3.947784854727529,0.1788181816620083,2.4146480340453724
2024-01-01~2024-07-01,smc_loose,1.15,0.005,20204.449999999983,0.17391304347826086,23,3.31808341446202,0.2048303395098899,2.0504150565149586
2024-01-01~2024-07-01,smc_loose,1.2,0.002,-2949.4000000000306,0.05555555555555555,18,-0.8745968999878629,2.6326417642760997,0.8023796984571743
2024-01-01~2024-07-01,smc_loose,1.2,0.003,-1318.700000000019,0.058823529411764705,17,-0.4052180733211164,1.7299670083918428,0.9008039789737821
2024-01-01~2024-07-01,smc_loose,1.2,0.004,-1318.700000000019,0.058823529411764705,17,-0.4052180733211164,1.7299670083918428,0.9008039789737821
2024-01-01~2024-07-01,smc_loose,1.2,0.005,-1318.700000000019,0.058823529411764705,17,-0.4052180733211164,1.7299670083918428,0.9008039789737821
