區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2025-01-01~2025-07-01,smc,1.05,0.002,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.05,0.003,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.05,0.004,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.05,0.005,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.1,0.002,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.1,0.003,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.1,0.004,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.1,0.005,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.15,0.002,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.15,0.003,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.15,0.004,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.15,0.005,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.2,0.002,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.2,0.003,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.2,0.004,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc,1.2,0.005,-843.5800000000017,0.0,1
2025-01-01~2025-07-01,smc_loose,1.05,0.002,1107.7700000000477,0.3,60
2025-01-01~2025-07-01,smc_loose,1.05,0.003,1107.7700000000477,0.3,60
2025-01-01~2025-07-01,smc_loose,1.05,0.004,1107.7700000000477,0.3,60
2025-01-01~2025-07-01,smc_loose,1.05,0.005,1107.7700000000477,0.3,60
2025-01-01~2025-07-01,smc_loose,1.1,0.002,-5107.729999999952,0.2222222222222222,27
2025-01-01~2025-07-01,smc_loose,1.1,0.003,-5107.729999999952,0.2222222222222222,27
2025-01-01~2025-07-01,smc_loose,1.1,0.004,-5107.729999999952,0.2222222222222222,27
2025-01-01~2025-07-01,smc_loose,1.1,0.005,-5107.729999999952,0.2222222222222222,27
2025-01-01~2025-07-01,smc_loose,1.15,0.002,8074.700000000012,0.2,15
2025-01-01~2025-07-01,smc_loose,1.15,0.003,8074.700000000012,0.2,15
2025-01-01~2025-07-01,smc_loose,1.15,0.004,8074.700000000012,0.2,15
2025-01-01~2025-07-01,smc_loose,1.15,0.005,8074.700000000012,0.2,15
2025-01-01~2025-07-01,smc_loose,1.2,0.002,136.43000000003667,0.125,16
2025-01-01~2025-07-01,smc_loose,1.2,0.003,136.43000000003667,0.125,16
2025-01-01~2025-07-01,smc_loose,1.2,0.004,136.43000000003667,0.125,16
2025-01-01~2025-07-01,smc_loose,1.2,0.005,136.43000000003667,0.125,16
