區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2023-01-01~2023-07-01,smc,1.2,0.002,233.9600000000005,0.125,8
2023-01-01~2023-07-01,smc_loose,1.05,0.003,1087.2999999999988,0.1834862385321101,218
2023-07-01~2024-01-01,smc,1.05,0.002,200.49999999999977,0.6666666666666666,3
2023-07-01~2024-01-01,smc_loose,1.05,0.002,435.77000000000044,0.16666666666666666,150
2024-01-01~2024-07-01,smc,1.15,0.002,965.2799999999997,0.15789473684210525,19
2024-01-01~2024-07-01,smc_loose,1.05,0.004,1568.9400000000014,0.17777777777777778,270
2024-07-01~2025-01-01,smc,1.15,0.002,263.2899999999995,0.07894736842105263,38
2024-07-01~2025-01-01,smc_loose,1.05,0.002,2139.2700000000027,0.2007168458781362,279
2025-01-01~2025-07-01,smc,1.1,0.002,614.4400000000016,0.1891891891891892,37
2025-01-01~2025-07-01,smc_loose,1.1,0.002,3294.7599999999966,0.15428571428571428,175
2025-07-01~2026-01-01,smc,1.05,0.002,115.61000000000013,0.5,2
2025-07-01~2026-01-01,smc_loose,1.15,0.004,280.6400000000003,0.125,8
