區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.05,0.002,-0.145558,0.2222,9,-9.468255440513696,0.0,0.2550242319709063
2023-01-01~2023-07-01,smc,1.05,0.003,-0.145558,0.2222,9,-9.468255440513696,0.0,0.2550242319709063
2023-01-01~2023-07-01,smc,1.05,0.004,-0.145558,0.2222,9,-9.468255440513696,0.0,0.2550242319709063
2023-01-01~2023-07-01,smc,1.05,0.005,-0.145558,0.2222,9,-9.468255440513696,0.0,0.2550242319709063
2023-01-01~2023-07-01,smc,1.1,0.002,-0.354278,0.1111,9,-16.115767114512938,0.0,0.002332215332166412
2023-01-01~2023-07-01,smc,1.1,0.003,-0.354278,0.1111,9,-16.115767114512938,0.0,0.002332215332166412
2023-01-01~2023-07-01,smc,1.1,0.004,-0.354278,0.1111,9,-16.115767114512938,0.0,0.002332215332166412
2023-01-01~2023-07-01,smc,1.1,0.005,-0.354278,0.1111,9,-16.115767114512938,0.0,0.002332215332166412
2023-01-01~2023-07-01,smc,1.15,0.002,-0.504278,0.1111,9,-14.969003119451784,0.0,0.0016396244140602172
2023-01-01~2023-07-01,smc,1.15,0.003,-0.504278,0.1111,9,-14.969003119451784,0.0,0.0016396244140602172
2023-01-01~2023-07-01,smc,1.15,0.004,-0.504278,0.1111,9,-14.969003119451784,0.0,0.0016396244140602172
2023-01-01~2023-07-01,smc,1.15,0.005,-0.504278,0.1111,9,-14.969003119451784,0.0,0.0016396244140602172
2023-01-01~2023-07-01,smc,1.2,0.002,-0.654278,0.1111,9,-14.401792322017728,0.0,0.001264199053119841
2023-01-01~2023-07-01,smc,1.2,0.003,-0.654278,0.1111,9,-14.401792322017728,0.0,0.001264199053119841
2023-01-01~2023-07-01,smc,1.2,0.004,-0.654278,0.1111,9,-14.401792322017728,0.0,0.001264199053119841
2023-01-01~2023-07-01,smc,1.2,0.005,-0.654278,0.1111,9,-14.401792322017728,0.0,0.001264199053119841
2023-01-01~2023-07-01,smc_loose,1.05,0.002,-11.820753,0.1143,525,-14.823983774702723,140.2246813059436,0.1318960731279186
2023-01-01~2023-07-01,smc_loose,1.05,0.003,-11.698069,0.1101,527,-14.583087499572743,0.0,0.13667230588646176
2023-01-01~2023-07-01,smc_loose,1.05,0.004,-11.724513,0.1107,524,-14.663159194987662,0.0,0.13671569653216106
2023-01-01~2023-07-01,smc_loose,1.05,0.005,-11.724599,0.1065,526,-14.886283952853232,0.0,0.12765053547527067
2023-01-01~2023-07-01,smc_loose,1.1,0.002,-14.6918,0.0925,335,-15.261373761253173,0.0,0.08882280245190705
2023-01-01~2023-07-01,smc_loose,1.1,0.003,-14.531544,0.0882,340,-14.957976610009359,0.0,0.09028428393350776
2023-01-01~2023-07-01,smc_loose,1.1,0.004,-14.046417,0.0923,325,-14.998341064186132,0.0,0.09339712334928943
2023-01-01~2023-07-01,smc_loose,1.1,0.005,-14.64891,0.0912,340,-15.075208050112636,0.0,0.09011552259422621
2023-01-01~2023-07-01,smc_loose,1.15,0.002,-11.787612,0.0969,196,-14.183264081850004,0.0,0.0837704270798772
2023-01-01~2023-07-01,smc_loose,1.15,0.003,-10.844555,0.0865,185,-13.778430115906696,0.0,0.0899779303070727
2023-01-01~2023-07-01,smc_loose,1.15,0.004,-11.898714,0.0802,187,-14.806086025610018,0.0,0.08258316849181307
2023-01-01~2023-07-01,smc_loose,1.15,0.005,-9.748198,0.0909,165,-13.97138499136964,0.0,0.08722468277560537
2023-01-01~2023-07-01,smc_loose,1.2,0.002,-13.249492,0.0968,155,-15.362191381887351,0.0,0.058884994715356964
2023-01-01~2023-07-01,smc_loose,1.2,0.003,-9.998886,0.0985,132,-13.667042628894713,0.0,0.076446904222162
2023-01-01~2023-07-01,smc_loose,1.2,0.004,-11.399818,0.0876,137,-14.841736151477942,0.0,0.0676830624929458
2023-01-01~2023-07-01,smc_loose,1.2,0.005,-11.206058,0.0821,134,-14.888796631403945,0.0,0.0684346310676299
2023-07-01~2024-01-01,smc,1.05,0.002,-0.053,0.3333,3,-5.846038544746931,0.0,0.48039215686274434
2023-07-01~2024-01-01,smc,1.05,0.003,-0.053,0.3333,3,-5.846038544746931,0.0,0.48039215686274434
2023-07-01~2024-01-01,smc,1.05,0.004,-0.053,0.3333,3,-5.846038544746931,0.0,0.48039215686274434
2023-07-01~2024-01-01,smc,1.05,0.005,-0.053,0.3333,3,-5.846038544746931,0.0,0.48039215686274434
2023-07-01~2024-01-01,smc,1.1,0.002,-0.218181,0.0,3,-28.373342884330405,0.0,0.0
2023-07-01~2024-01-01,smc,1.1,0.003,-0.218181,0.0,3,-28.373342884330405,0.0,0.0
2023-07-01~2024-01-01,smc,1.1,0.004,-0.218181,0.0,3,-28.373342884330405,0.0,0.0
2023-07-01~2024-01-01,smc,1.1,0.005,-0.218181,0.0,3,-28.373342884330405,0.0,0.0
2023-07-01~2024-01-01,smc,1.15,0.002,-0.318181,0.0,3,-26.032120155292777,0.0,0.0
2023-07-01~2024-01-01,smc,1.15,0.003,-0.318181,0.0,3,-26.032120155292777,0.0,0.0
2023-07-01~2024-01-01,smc,1.15,0.004,-0.318181,0.0,3,-26.032120155292777,0.0,0.0
2023-07-01~2024-01-01,smc,1.15,0.005,-0.318181,0.0,3,-26.032120155292777,0.0,0.0
2023-07-01~2024-01-01,smc,1.2,0.002,-0.418181,0.0,3,-24.957663489640176,0.0,0.0
2023-07-01~2024-01-01,smc,1.2,0.003,-0.418181,0.0,3,-24.957663489640176,0.0,0.0
2023-07-01~2024-01-01,smc,1.2,0.004,-0.418181,0.0,3,-24.957663489640176,0.0,0.0
2023-07-01~2024-01-01,smc,1.2,0.005,-0.418181,0.0,3,-24.957663489640176,0.0,0.0
2023-07-01~2024-01-01,smc_loose,1.05,0.002,-8.02836,0.0912,340,-15.414049445073074,0.0,0.13128431811512448
2023-07-01~2024-01-01,smc_loose,1.05,0.003,-7.291628,0.0955,335,-14.305545806043822,0.0,0.14263565291535324
2023-07-01~2024-01-01,smc_loose,1.05,0.004,-6.814823,0.0976,328,-13.721367166417306,0.0,0.15122975520376683
