應用區間,策略,tp_r,tol_fvg,總損益,勝率,單數
2023-07-01~2024-01-01,smc,1.2,0.002,-68.37000000000012,0.0,3
2023-07-01~2024-01-01,smc_loose,1.05,0.003,-204.91999999999985,0.14189189189189189,148
2024-01-01~2024-07-01,smc,1.05,0.002,322.87999999999965,0.21428571428571427,28
2024-01-01~2024-07-01,smc_loose,1.05,0.002,-401.00999999999885,0.1494661921708185,281
2024-07-01~2025-01-01,smc,1.15,0.002,263.2899999999995,0.07894736842105263,38
2024-07-01~2025-01-01,smc_loose,1.05,0.004,-593.8100000000022,0.13836477987421383,318
2025-01-01~2025-07-01,smc,1.15,0.002,-539.6699999999987,0.058823529411764705,34
2025-01-01~2025-07-01,smc_loose,1.05,0.002,-806.9000000000065,0.16201117318435754,358
2025-07-01~2026-01-01,smc,1.1,0.002,-30.050000000000182,0.0,1
2025-07-01~2026-01-01,smc_loose,1.1,0.002,-23.349999999999454,0.09090909090909091,11
