區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2023-01-01~2023-07-01,smc,1.05,0.002,-54.80999999999972,0.25,16
2023-01-01~2023-07-01,smc_loose,1.15,0.005,281.53999999999974,0.1,60
2023-07-01~2024-01-01,smc,1.1,0.002,87.96999999999957,0.14285714285714285,7
2023-07-01~2024-01-01,smc_loose,1.15,0.005,38.339999999999236,0.08888888888888889,45
2024-01-01~2024-07-01,smc,1.2,0.002,930.1199999999999,0.2,10
2024-01-01~2024-07-01,smc_loose,1.05,0.004,1515.4099999999994,0.24161073825503357,149
2024-07-01~2025-01-01,smc,1.05,0.002,21.26000000000022,0.18181818181818182,11
2024-07-01~2025-01-01,smc_loose,1.2,0.002,1308.2100000000005,0.10204081632653061,49
2025-01-01~2025-07-01,smc,1.2,0.002,721.02,0.125,16
2025-01-01~2025-07-01,smc_loose,1.05,0.003,1489.6,0.24873096446700507,197
