區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2023-01-01~2023-07-01,smc,1.05,0.002,-0.453973,0.0952,21,-19.509095525620264,0.0,0.02722691068016556
2023-01-01~2023-07-01,smc,1.05,0.003,-0.453973,0.0952,21,-19.509095525620264,0.0,0.02722691068016556
2023-01-01~2023-07-01,smc,1.05,0.004,-0.453973,0.0952,21,-19.509095525620264,0.0,0.02722691068016556
2023-01-01~2023-07-01,smc,1.05,0.005,-0.453973,0.0952,21,-19.509095525620264,0.0,0.02722691068016556
2023-01-01~2023-07-01,smc,1.1,0.002,-0.753973,0.0952,21,-15.881914269904124,0.0,0.0165730745630937
2023-01-01~2023-07-01,smc,1.1,0.003,-0.753973,0.0952,21,-15.881914269904124,0.0,0.0165730745630937
2023-01-01~2023-07-01,smc,1.1,0.004,-0.753973,0.0952,21,-15.881914269904124,0.0,0.0165730745630937
2023-01-01~2023-07-01,smc,1.1,0.005,-0.753973,0.0952,21,-15.881914269904124,0.0,0.0165730745630937
2023-01-01~2023-07-01,smc,1.15,0.002,-1.053973,0.0952,21,-14.531632418794512,0.0,0.011911951557881757
2023-01-01~2023-07-01,smc,1.15,0.003,-1.053973,0.0952,21,-14.531632418794512,0.0,0.011911951557881757
2023-01-01~2023-07-01,smc,1.15,0.004,-1.053973,0.0952,21,-14.531632418794512,0.0,0.011911951557881757
2023-01-01~2023-07-01,smc,1.15,0.005,-1.053973,0.0952,21,-14.531632418794512,0.0,0.011911951557881757
2023-01-01~2023-07-01,smc,1.2,0.002,-1.353973,0.0952,21,-13.846472132374396,0.0,0.009297156660885632
2023-01-01~2023-07-01,smc,1.2,0.003,-1.353973,0.0952,21,-13.846472132374396,0.0,0.009297156660885632
2023-01-01~2023-07-01,smc,1.2,0.004,-1.353973,0.0952,21,-13.846472132374396,0.0,0.009297156660885632
2023-01-01~2023-07-01,smc,1.2,0.005,-1.353973,0.0952,21,-13.846472132374396,0.0,0.009297156660885632
2023-01-01~2023-07-01,smc_loose,1.05,0.002,-5.235368,0.1738,282,-11.622703739905424,0.0,0.21319343544667682
2023-01-01~2023-07-01,smc_loose,1.05,0.003,-5.367355,0.1802,283,-12.049753561796765,0.0,0.2001304964490706
2023-01-01~2023-07-01,smc_loose,1.05,0.004,-5.743949,0.1765,306,-12.272043456869772,0.0,0.18810191868988718
2023-01-01~2023-07-01,smc_loose,1.05,0.005,-5.671888,0.1767,300,-12.290420935064645,0.0,0.18992042078556434
2023-01-01~2023-07-01,smc_loose,1.1,0.002,-6.784514,0.1469,177,-13.145731210401363,0.0,0.13201641371912304
2023-01-01~2023-07-01,smc_loose,1.1,0.003,-6.958782,0.1582,177,-13.403186909922134,0.0,0.13000741880794886
2023-01-01~2023-07-01,smc_loose,1.1,0.004,-7.555309,0.1608,199,-13.046036980300668,0.0,0.13324754009915243
2023-01-01~2023-07-01,smc_loose,1.1,0.005,-7.55311,0.1582,196,-13.18649392169157,0.0,0.13318041271859368
2023-01-01~2023-07-01,smc_loose,1.15,0.002,-7.334765,0.1486,148,-11.808811431476023,0.0,0.12853392693150667
2023-01-01~2023-07-01,smc_loose,1.15,0.003,-8.273115,0.1456,158,-12.450252472485051,0.0,0.11779687676413543
2023-01-01~2023-07-01,smc_loose,1.15,0.004,-7.844312,0.1419,148,-12.675730496447732,0.0,0.10934004823072073
2023-01-01~2023-07-01,smc_loose,1.15,0.005,-7.538435,0.1418,141,-12.701255632079908,0.0,0.11316837938487474
2023-01-01~2023-07-01,smc_loose,1.2,0.002,-7.345288,0.1236,89,-14.665073320985874,0.0,0.0777250234937312
2023-01-01~2023-07-01,smc_loose,1.2,0.003,-8.174642,0.1224,98,-14.949704487130038,0.0,0.07078620478203905
2023-01-01~2023-07-01,smc_loose,1.2,0.004,-9.581121,0.1368,117,-14.882631590633437,0.0,0.06281616515584947
