區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2024-07-01~2025-01-01,smc,1.05,0.002,21.26000000000022,0.18181818181818182,11
2024-07-01~2025-01-01,smc,1.05,0.003,21.26000000000022,0.18181818181818182,11
2024-07-01~2025-01-01,smc,1.05,0.004,21.26000000000022,0.18181818181818182,11
2024-07-01~2025-01-01,smc,1.05,0.005,21.26000000000022,0.18181818181818182,11
2024-07-01~2025-01-01,smc,1.1,0.002,-5.220000000000255,0.09090909090909091,11
2024-07-01~2025-01-01,smc,1.1,0.003,-5.220000000000255,0.09090909090909091,11
2024-07-01~2025-01-01,smc,1.1,0.004,-5.220000000000255,0.09090909090909091,11
2024-07-01~2025-01-01,smc,1.1,0.005,-5.220000000000255,0.09090909090909091,11
2024-07-01~2025-01-01,smc,1.15,0.002,-291.96000000000004,0.0,10
2024-07-01~2025-01-01,smc,1.15,0.003,-291.96000000000004,0.0,10
2024-07-01~2025-01-01,smc,1.15,0.004,-291.96000000000004,0.0,10
2024-07-01~2025-01-01,smc,1.15,0.005,-291.96000000000004,0.0,10
2024-07-01~2025-01-01,smc,1.2,0.002,-291.96000000000004,0.0,10
2024-07-01~2025-01-01,smc,1.2,0.003,-291.96000000000004,0.0,10
2024-07-01~2025-01-01,smc,1.2,0.004,-291.96000000000004,0.0,10
2024-07-01~2025-01-01,smc,1.2,0.005,-291.96000000000004,0.0,10
2024-07-01~2025-01-01,smc_loose,1.05,0.002,470.6300000000015,0.22727272727272727,154
2024-07-01~2025-01-01,smc_loose,1.05,0.003,1187.6399999999985,0.25,148
2024-07-01~2025-01-01,smc_loose,1.05,0.004,977.1199999999985,0.23841059602649006,151
2024-07-01~2025-01-01,smc_loose,1.05,0.005,1059.2399999999989,0.24305555555555555,144
2024-07-01~2025-01-01,smc_loose,1.1,0.002,-395.00999999999794,0.11428571428571428,105
2024-07-01~2025-01-01,smc_loose,1.1,0.003,-968.7299999999987,0.09473684210526316,95
2024-07-01~2025-01-01,smc_loose,1.1,0.004,-1395.3700000000008,0.07954545454545454,88
2024-07-01~2025-01-01,smc_loose,1.1,0.005,-1565.29,0.08247422680412371,97
2024-07-01~2025-01-01,smc_loose,1.15,0.002,-410.9899999999989,0.08064516129032258,62
2024-07-01~2025-01-01,smc_loose,1.15,0.003,-1235.62,0.0547945205479452,73
2024-07-01~2025-01-01,smc_loose,1.15,0.004,-1386.6400000000012,0.05405405405405406,74
2024-07-01~2025-01-01,smc_loose,1.15,0.005,507.7499999999982,0.1076923076923077,65
2024-07-01~2025-01-01,smc_loose,1.2,0.002,1308.2100000000005,0.10204081632653061,49
2024-07-01~2025-01-01,smc_loose,1.2,0.003,262.59999999999945,0.06779661016949153,59
2024-07-01~2025-01-01,smc_loose,1.2,0.004,-1124.940000000001,0.03333333333333333,60
2024-07-01~2025-01-01,smc_loose,1.2,0.005,-972.0700000000015,0.037037037037037035,54
