區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2023-01-01~2023-07-01,smc,1.05,0.002,-104.85999999999967,0.18181818181818182,11
2023-01-01~2023-07-01,smc,1.05,0.003,-104.85999999999967,0.18181818181818182,11
2023-01-01~2023-07-01,smc,1.05,0.004,-104.85999999999967,0.18181818181818182,11
2023-01-01~2023-07-01,smc,1.05,0.005,-104.85999999999967,0.18181818181818182,11
2023-01-01~2023-07-01,smc,1.1,0.002,-94.62999999999988,0.1,10
2023-01-01~2023-07-01,smc,1.1,0.003,-94.62999999999988,0.1,10
2023-01-01~2023-07-01,smc,1.1,0.004,-94.62999999999988,0.1,10
2023-01-01~2023-07-01,smc,1.1,0.005,-94.62999999999988,0.1,10
2023-01-01~2023-07-01,smc,1.15,0.002,41.930000000000064,0.1,10
2023-01-01~2023-07-01,smc,1.15,0.003,41.930000000000064,0.1,10
2023-01-01~2023-07-01,smc,1.15,0.004,41.930000000000064,0.1,10
2023-01-01~2023-07-01,smc,1.15,0.005,41.930000000000064,0.1,10
2023-01-01~2023-07-01,smc,1.2,0.002,-226.23999999999978,0.0,9
2023-01-01~2023-07-01,smc,1.2,0.003,-226.23999999999978,0.0,9
2023-01-01~2023-07-01,smc,1.2,0.004,-226.23999999999978,0.0,9
2023-01-01~2023-07-01,smc,1.2,0.005,-226.23999999999978,0.0,9
2023-01-01~2023-07-01,smc_loose,1.05,0.002,-356.78999999999974,0.15894039735099338,151
2023-01-01~2023-07-01,smc_loose,1.05,0.003,-473.379999999999,0.14935064935064934,154
2023-01-01~2023-07-01,smc_loose,1.05,0.004,-517.6699999999994,0.14935064935064934,154
2023-01-01~2023-07-01,smc_loose,1.05,0.005,-679.4099999999994,0.14482758620689656,145
2023-01-01~2023-07-01,smc_loose,1.1,0.002,560.2399999999998,0.14102564102564102,78
2023-01-01~2023-07-01,smc_loose,1.1,0.003,662.9399999999998,0.1506849315068493,73
2023-01-01~2023-07-01,smc_loose,1.1,0.004,-206.78000000000065,0.1038961038961039,77
2023-01-01~2023-07-01,smc_loose,1.1,0.005,40.48999999999978,0.1125,80
2023-01-01~2023-07-01,smc_loose,1.15,0.002,632.1299999999992,0.11764705882352941,51
2023-01-01~2023-07-01,smc_loose,1.15,0.003,289.5,0.09433962264150944,53
2023-01-01~2023-07-01,smc_loose,1.15,0.004,608.8399999999997,0.10909090909090909,55
2023-01-01~2023-07-01,smc_loose,1.15,0.005,481.8699999999999,0.0967741935483871,62
2023-01-01~2023-07-01,smc_loose,1.2,0.002,487.0599999999997,0.14285714285714285,21
2023-01-01~2023-07-01,smc_loose,1.2,0.003,545.6600000000003,0.1875,16
2023-01-01~2023-07-01,smc_loose,1.2,0.004,543.2100000000003,0.1875,16
2023-01-01~2023-07-01,smc_loose,1.2,0.005,554.6500000000003,0.2,15
2023-07-01~2024-01-01,smc,1.05,0.002,146.9000000000001,0.4,5
2023-07-01~2024-01-01,smc,1.05,0.003,146.9000000000001,0.4,5
2023-07-01~2024-01-01,smc,1.05,0.004,146.9000000000001,0.4,5
2023-07-01~2024-01-01,smc,1.05,0.005,146.9000000000001,0.4,5
2023-07-01~2024-01-01,smc,1.1,0.002,147.94999999999982,0.2,5
2023-07-01~2024-01-01,smc,1.1,0.003,147.94999999999982,0.2,5
2023-07-01~2024-01-01,smc,1.1,0.004,147.94999999999982,0.2,5
2023-07-01~2024-01-01,smc,1.1,0.005,147.94999999999982,0.2,5
2023-07-01~2024-01-01,smc,1.15,0.002,-65.82000000000016,0.0,3
2023-07-01~2024-01-01,smc,1.15,0.003,-65.82000000000016,0.0,3
2023-07-01~2024-01-01,smc,1.15,0.004,-65.82000000000016,0.0,3
2023-07-01~2024-01-01,smc,1.15,0.005,-65.82000000000016,0.0,3
2023-07-01~2024-01-01,smc,1.2,0.002,-65.82000000000016,0.0,3
2023-07-01~2024-01-01,smc,1.2,0.003,-65.82000000000016,0.0,3
2023-07-01~2024-01-01,smc,1.2,0.004,-65.82000000000016,0.0,3
2023-07-01~2024-01-01,smc,1.2,0.005,-65.82000000000016,0.0,3
2023-07-01~2024-01-01,smc_loose,1.05,0.002,-110.77999999999884,0.14414414414414414,111
2023-07-01~2024-01-01,smc_loose,1.05,0.003,177.96000000000186,0.15702479338842976,121
2023-07-01~2024-01-01,smc_loose,1.05,0.004,-191.26999999999884,0.13934426229508196,122
2023-07-01~2024-01-01,smc_loose,1.05,0.005,102.14000000000146,0.16101694915254236,118
2023-07-01~2024-01-01,smc_loose,1.1,0.002,-86.71999999999935,0.09836065573770492,61
2023-07-01~2024-01-01,smc_loose,1.1,0.003,199.2300000000016,0.1044776119402985,67
2023-07-01~2024-01-01,smc_loose,1.1,0.004,167.4900000000007,0.1,80
2023-07-01~2024-01-01,smc_loose,1.1,0.005,270.6000000000013,0.10666666666666667,75
2023-07-01~2024-01-01,smc_loose,1.15,0.002,77.67000000000007,0.07317073170731707,41
2023-07-01~2024-01-01,smc_loose,1.15,0.003,329.7199999999996,0.1,30
2023-07-01~2024-01-01,smc_loose,1.15,0.004,286.22999999999934,0.09090909090909091,33
2023-07-01~2024-01-01,smc_loose,1.15,0.005,286.22999999999934,0.09090909090909091,33
2023-07-01~2024-01-01,smc_loose,1.2,0.002,198.4599999999998,0.06976744186046512,43
2023-07-01~2024-01-01,smc_loose,1.2,0.003,228.37000000000103,0.08695652173913043,23
2023-07-01~2024-01-01,smc_loose,1.2,0.004,184.52999999999975,0.07407407407407407,27
2023-07-01~2024-01-01,smc_loose,1.2,0.005,184.52999999999975,0.07407407407407407,27
2024-01-01~2024-07-01,smc,1.05,0.002,-896.4900000000011,0.030303030303030304,33
2024-01-01~2024-07-01,smc,1.05,0.003,-896.4900000000011,0.030303030303030304,33
2024-01-01~2024-07-01,smc,1.05,0.004,-896.4900000000011,0.030303030303030304,33
2024-01-01~2024-07-01,smc,1.05,0.005,-896.4900000000011,0.030303030303030304,33
2024-01-01~2024-07-01,smc,1.1,0.002,-714.7600000000016,0.030303030303030304,33
2024-01-01~2024-07-01,smc,1.1,0.003,-714.7600000000016,0.030303030303030304,33
2024-01-01~2024-07-01,smc,1.1,0.004,-714.7600000000016,0.030303030303030304,33
2024-01-01~2024-07-01,smc,1.1,0.005,-714.7600000000016,0.030303030303030304,33
2024-01-01~2024-07-01,smc,1.15,0.002,-519.9300000000017,0.03125,32
2024-01-01~2024-07-01,smc,1.15,0.003,-519.9300000000017,0.03125,32
2024-01-01~2024-07-01,smc,1.15,0.004,-519.9300000000017,0.03125,32
2024-01-01~2024-07-01,smc,1.15,0.005,-519.9300000000017,0.03125,32
2024-01-01~2024-07-01,smc,1.2,0.002,-304.0800000000013,0.03225806451612903,31
2024-01-01~2024-07-01,smc,1.2,0.003,-304.0800000000013,0.03225806451612903,31
2024-01-01~2024-07-01,smc,1.2,0.004,-304.0800000000013,0.03225806451612903,31
2024-01-01~2024-07-01,smc,1.2,0.005,-304.0800000000013,0.03225806451612903,31
2024-01-01~2024-07-01,smc_loose,1.05,0.002,-1020.8699999999967,0.1724137931034483,174
2024-01-01~2024-07-01,smc_loose,1.05,0.003,-1378.8399999999974,0.14948453608247422,194
2024-01-01~2024-07-01,smc_loose,1.05,0.004,-612.9299999999989,0.1641025641025641,195
2024-01-01~2024-07-01,smc_loose,1.05,0.005,-364.87999999999874,0.1658291457286432,199
2024-01-01~2024-07-01,smc_loose,1.1,0.002,-621.6899999999996,0.11016949152542373,118
2024-01-01~2024-07-01,smc_loose,1.1,0.003,815.0900000000001,0.13008130081300814,123
2024-01-01~2024-07-01,smc_loose,1.1,0.004,-77.64000000000078,0.1044776119402985,134
2024-01-01~2024-07-01,smc_loose,1.1,0.005,1302.7400000000011,0.13114754098360656,122
2024-01-01~2024-07-01,smc_loose,1.15,0.002,-573.7599999999998,0.06593406593406594,91
2024-01-01~2024-07-01,smc_loose,1.15,0.003,-497.6499999999992,0.06976744186046512,86
2024-01-01~2024-07-01,smc_loose,1.15,0.004,-743.3799999999978,0.061855670103092786,97
2024-01-01~2024-07-01,smc_loose,1.15,0.005,809.2700000000023,0.10126582278481013,79
2024-01-01~2024-07-01,smc_loose,1.2,0.002,-2462.0199999999995,0.024691358024691357,81
2024-01-01~2024-07-01,smc_loose,1.2,0.003,1208.889999999999,0.08620689655172414,58
2024-01-01~2024-07-01,smc_loose,1.2,0.004,-2671.7400000000002,0.023529411764705882,85
2024-01-01~2024-07-01,smc_loose,1.2,0.005,-1476.5999999999985,0.045454545454545456,66
2024-07-01~2025-01-01,smc,1.05,0.002,447.3099999999986,0.2413793103448276,29
2024-07-01~2025-01-01,smc,1.05,0.003,447.3099999999986,0.2413793103448276,29
2024-07-01~2025-01-01,smc,1.05,0.004,447.3099999999986,0.2413793103448276,29
2024-07-01~2025-01-01,smc,1.05,0.005,447.3099999999986,0.2413793103448276,29
2024-07-01~2025-01-01,smc,1.1,0.002,22.3199999999988,0.10714285714285714,28
2024-07-01~2025-01-01,smc,1.1,0.003,22.3199999999988,0.10714285714285714,28
2024-07-01~2025-01-01,smc,1.1,0.004,22.3199999999988,0.10714285714285714,28
2024-07-01~2025-01-01,smc,1.1,0.005,22.3199999999988,0.10714285714285714,28
2024-07-01~2025-01-01,smc,1.15,0.002,-70.03000000000111,0.07142857142857142,28
2024-07-01~2025-01-01,smc,1.15,0.003,-70.03000000000111,0.07142857142857142,28
