區間,strategy,tp_r,tol_fvg,總損益,勝率,單數
2025-07-01~2026-01-01,smc,1.05,0.002,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.05,0.003,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.05,0.004,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.05,0.005,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.1,0.002,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.1,0.003,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.1,0.004,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.1,0.005,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.15,0.002,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.15,0.003,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.15,0.004,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.15,0.005,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.2,0.002,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.2,0.003,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.2,0.004,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc,1.2,0.005,-25.889999999999873,0.0,1
2025-07-01~2026-01-01,smc_loose,1.05,0.002,-20.059999999999036,0.15384615384615385,13
2025-07-01~2026-01-01,smc_loose,1.05,0.003,-21.00999999999931,0.15384615384615385,13
2025-07-01~2026-01-01,smc_loose,1.05,0.004,-11.519999999999527,0.16666666666666666,12
2025-07-01~2026-01-01,smc_loose,1.05,0.005,-11.519999999999527,0.16666666666666666,12
2025-07-01~2026-01-01,smc_loose,1.1,0.002,-30.21999999999889,0.09090909090909091,11
2025-07-01~2026-01-01,smc_loose,1.1,0.003,-31.169999999999163,0.09090909090909091,11
2025-07-01~2026-01-01,smc_loose,1.1,0.004,-21.67999999999938,0.1,10
2025-07-01~2026-01-01,smc_loose,1.1,0.005,-21.67999999999938,0.1,10
2025-07-01~2026-01-01,smc_loose,1.15,0.002,201.5900000000015,0.1111111111111111,9
2025-07-01~2026-01-01,smc_loose,1.15,0.003,200.64000000000124,0.1111111111111111,9
2025-07-01~2026-01-01,smc_loose,1.15,0.004,210.13000000000102,0.125,8
2025-07-01~2026-01-01,smc_loose,1.15,0.005,210.13000000000102,0.125,8
2025-07-01~2026-01-01,smc_loose,1.2,0.002,-128.88999999999942,0.0,6
2025-07-01~2026-01-01,smc_loose,1.2,0.003,-129.8399999999997,0.0,6
2025-07-01~2026-01-01,smc_loose,1.2,0.004,-120.34999999999991,0.0,5
2025-07-01~2026-01-01,smc_loose,1.2,0.005,-120.34999999999991,0.0,5
