區間,strategy,tp_r,tol_fvg,總損益_pct,勝率,單數,sharpe,max_drawdown,profit_factor
2025-01-01~2025-07-01,smc,1.05,0.002,-0.037926,0.25,4,-4.182845749890974,0.0,0.5636982057343618
2025-01-01~2025-07-01,smc,1.05,0.003,-0.037926,0.25,4,-4.182845749890974,0.0,0.5636982057343618
2025-01-01~2025-07-01,smc,1.05,0.004,-0.037926,0.25,4,-4.182845749890974,0.0,0.5636982057343618
2025-01-01~2025-07-01,smc,1.05,0.005,-0.037926,0.25,4,-4.182845749890974,0.0,0.5636982057343618
2025-01-01~2025-07-01,smc,1.1,0.002,-0.177201,0.0,4,-20.821306982974107,0.0,0.0
2025-01-01~2025-07-01,smc,1.1,0.003,-0.177201,0.0,4,-20.821306982974107,0.0,0.0
2025-01-01~2025-07-01,smc,1.1,0.004,-0.177201,0.0,4,-20.821306982974107,0.0,0.0
2025-01-01~2025-07-01,smc,1.1,0.005,-0.177201,0.0,4,-20.821306982974107,0.0,0.0
2025-01-01~2025-07-01,smc,1.15,0.002,-0.227201,0.0,4,-16.81009794316537,0.0,0.0
2025-01-01~2025-07-01,smc,1.15,0.003,-0.227201,0.0,4,-16.81009794316537,0.0,0.0
2025-01-01~2025-07-01,smc,1.15,0.004,-0.227201,0.0,4,-16.81009794316537,0.0,0.0
2025-01-01~2025-07-01,smc,1.15,0.005,-0.227201,0.0,4,-16.81009794316537,0.0,0.0
2025-01-01~2025-07-01,smc,1.2,0.002,-0.277201,0.0,4,-14.865609770946744,0.0,0.0
2025-01-01~2025-07-01,smc,1.2,0.003,-0.277201,0.0,4,-14.865609770946744,0.0,0.0
2025-01-01~2025-07-01,smc,1.2,0.004,-0.277201,0.0,4,-14.865609770946744,0.0,0.0
2025-01-01~2025-07-01,smc,1.2,0.005,-0.277201,0.0,4,-14.865609770946744,0.0,0.0
2025-01-01~2025-07-01,smc_loose,1.05,0.002,-1.588846,0.2586,116,-7.477766057786326,84.60332451289703,0.386723923251071
2025-01-01~2025-07-01,smc_loose,1.05,0.003,-1.487325,0.2613,111,-7.2169890251219835,79.2614104185065,0.40062602688920046
2025-01-01~2025-07-01,smc_loose,1.05,0.004,-1.361656,0.2661,109,-6.666119051235886,72.79944246860106,0.4297217162019159
2025-01-01~2025-07-01,smc_loose,1.05,0.005,-1.467244,0.2435,115,-7.243333455586834,78.3553827737181,0.4016546656617829
2025-01-01~2025-07-01,smc_loose,1.1,0.002,-1.999693,0.2716,81,-7.45001789811474,106.22167149952472,0.3692774863569919
2025-01-01~2025-07-01,smc_loose,1.1,0.003,-1.885259,0.2727,77,-7.284607776913194,100.20024469727987,0.3815334804176988
2025-01-01~2025-07-01,smc_loose,1.1,0.004,-1.545747,0.2838,74,-6.249127151180402,82.48611105105579,0.43599809797011185
2025-01-01~2025-07-01,smc_loose,1.1,0.005,-1.999904,0.2442,86,-7.45045113092768,106.38332814763712,0.3559022194546592
2025-01-01~2025-07-01,smc_loose,1.15,0.002,-1.905595,0.2364,55,-8.5792690439064,101.27030018235128,0.27158715391987653
2025-01-01~2025-07-01,smc_loose,1.15,0.003,-1.717508,0.2453,53,-8.049066674521262,91.3734126542125,0.2926257343471032
2025-01-01~2025-07-01,smc_loose,1.15,0.004,-1.521394,0.2708,48,-7.6933536007955725,81.20468015487775,0.3183384989691241
2025-01-01~2025-07-01,smc_loose,1.15,0.005,-2.321764,0.2069,58,-10.304828919238245,123.31925998103655,0.19474368446018972
2025-01-01~2025-07-01,smc_loose,1.2,0.002,-2.673328,0.2586,58,-8.550507287987644,141.6675787632511,0.24692837966687411
2025-01-01~2025-07-01,smc_loose,1.2,0.003,-2.468989,0.2545,55,-8.301503498416006,130.9154862412718,0.260293025344342
2025-01-01~2025-07-01,smc_loose,1.2,0.004,-2.251853,0.2545,55,-7.708225398647561,119.64065397621846,0.28570801669553647
2025-01-01~2025-07-01,smc_loose,1.2,0.005,-3.258097,0.2131,61,-10.258436225077805,172.58809941934356,0.17720889496117181
